DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-DrugBank.d141.s0|129-138| </group> |brand
DDI-DrugBank.d141.s0|157-66||group
DDI-DrugBank.d141.s0|150-67||drug_n
DDI-DrugBank.d141.s1|0-6|ANTACID|drug
DDI-DrugBank.d141.s2|12-23|Cerivastatin|drug
DDI-DrugBank.d141.s2|89-98|cimetidine|group
DDI-DrugBank.d141.s3|0-13|CHOLESTYRAMINE|drug
DDI-DrugBank.d141.s3|65-78|CHOLESTYRAMINE|drug
DDI-DrugBank.d141.s3|130-143|CHOLESTYRAMINE|drug
DDI-DrugBank.d141.s6|932-945|anticoagulants|group
DDI-DrugBank.d141.s6|947-958|glutethimide|drug
DDI-DrugBank.d141.s7|0-6|DIGOXIN|drug
DDI-DrugBank.d141.s8|82-88|digoxin|drug
DDI-DrugBank.d141.s9|0-8|WARTHORIN|drug
DDI-DrugBank.d141.s10|108-119|cerivastatin|drug
DDI-DrugBank.d141.s11|21-28|warfarin|drug
DDI-DrugBank.d141.s13|106-124|cerivastatin sodium|group
DDI-DrugBank.d141.s13|203-214|betablockers|group
DDI-DrugBank.d287.s0|66-79|anticoagulants|group
DDI-DrugBank.d287.s1|0-4|drugs|drug
DDI-DrugBank.d287.s1|70-79|cevimeline|drug_n
DDI-DrugBank.d287.s2|68-81|anticoagulants|group
DDI-DrugBank.d287.s2|84-100|antifungal agents|group
DDI-DrugBank.d287.s2|103-109|aspirin|brand
DDI-DrugBank.d287.s2|116-121|heroin|drug_n
DDI-DrugBank.d287.s3|0-81|drugs which inhibit CYP2D6 and CYP3A3/4 also inhibit the metabolism of cevimeline.|drug
DDI-DrugBank.d287.s4|109-182|together with other drugs that are substrates or inhibitors of this enzyme|group
DDI-DrugBank.d287.s5|6-13|in vitro|group
DDI-DrugBank.d287.s5|22-84|cytochrome P450 isozymes 1A2, 2A6, 2C9, 2C19, 2D6, 2E1, and 3A4|drug
DDI-DrugBank.d255.s0|0-11|chlorambucil|drug
DDI-DrugBank.d255.s0|60-71|chlorambucil|drug
DDI-DrugBank.d110.s2|93-110|acetilsalicic acid|drug
DDI-DrugBank.d110.s2|112-125|anticoagulants|group
DDI-DrugBank.d110.s2|127-138|glutethimide|drug
DDI-DrugBank.d110.s2|140-156|antifungal agents|group
DDI-DrugBank.d110.s2|158-164|aspirin|drug
DDI-DrugBank.d110.s2|209-214|heroin|drug
DDI-DrugBank.d110.s3|29-45|vasopressor drugs|drug
DDI-DrugBank.d110.s5|11-24|chloroprocaine|drug
DDI-DrugBank.d110.s5|73-88|sulfonamide drug|group
DDI-DrugBank.d429.s0|13-18|kaolin|group
DDI-DrugBank.d429.s0|34-39|kaolin|group
DDI-DrugBank.d429.s1|67-77|chloroquine|group
DDI-DrugBank.d429.s4|0-9|Ampicillin|drug
DDI-DrugBank.d429.s4|103-112|Ampicillin|drug
DDI-DrugBank.d429.s4|206-215|Ampicillin|drug
DDI-DrugBank.d429.s4|309-318|Ampicillin|drug
DDI-DrugBank.d429.s4|412-421|Ampicillin|drug
DDI-DrugBank.d429.s4|515-524|Ampicillin|drug
DDI-DrugBank.d429.s4|618-627|Ampicillin|drug
DDI-DrugBank.d429.s4|721-730|Ampicillin|drug
DDI-DrugBank.d429.s4|824-833|Ampicillin|drug
DDI-DrugBank.d429.s4|927-936|Ampicillin|drug
DDI-DrugBank.d429.s5|52-62|chloroquine|drug
DDI-DrugBank.d429.s5|68-85|hydroxychloroquine|drug
DDI-DrugBank.d429.s6|87-110|level has been reported.|drug
DDI-DrugBank.d429.s7|37-42|levels|group
DDI-DrugBank.d429.s7|78-88|chloroquine|brand
DDI-DrugBank.d446.s0|35-49|antidepressants|group
DDI-DrugBank.d446.s0|52-58|aspirin|brand
DDI-DrugBank.d446.s0|61-72|barbiturates|group
DDI-DrugBank.d446.s0|75-87|bromocriptine|brand
DDI-DrugBank.d446.s0|90-108|calcium supplements|group
DDI-DrugBank.d446.s0|111-125|corticosteroids|group
DDI-DrugBank.d446.s0|128-141|corticiotropin|brand
DDI-DrugBank.d446.s0|144-155|cyclosporine|group
DDI-DrugBank.d446.s0|158-167|dantrolene|brand
DDI-DrugBank.d446.s0|180-189|somatropin|drug_n
DDI-DrugBank.d446.s0|192-200|tamoxifen|brand
DDI-DrugBank.d446.s0|207-214|warfarin|group
DDI-DrugBank.d245.s0|27-38|sulfonylurea|group
DDI-DrugBank.d245.s0|272-278|aspirin|brand
DDI-DrugBank.d245.s3|8-12|drugs|group
DDI-DrugBank.d245.s4|0-8|thiazides|drug
DDI-DrugBank.d245.s4|10-28|and other diuretics|drug
DDI-DrugBank.d245.s4|30-48|and other diuretics|drug
DDI-DrugBank.d245.s4|50-64|corticosteroids|drug
DDI-DrugBank.d245.s4|66-79|phenothiazines|drug
DDI-DrugBank.d245.s4|81-96|thyroid products|drug
DDI-DrugBank.d245.s4|98-106|estrogens|drug
DDI-DrugBank.d245.s4|108-126|oral contraceptives|drug
DDI-DrugBank.d245.s4|128-136|phenytoin|drug
DDI-DrugBank.d245.s4|138-151|nicotinic acid|drug
DDI-DrugBank.d245.s4|153-168|sympathomimetics|drug
DDI-DrugBank.d245.s4|170-199|calcium channel blocking drugs|drug
DDI-DrugBank.d245.s4|201-209|isoniazid|drug
DDI-DrugBank.d245.s7|110-121|barbiturates|group
DDI-DrugBank.d245.s9|32-46|oral miconazole|group
DDI-DrugBank.d245.s9|52-75|oral hypoglycemic agents|group
DDI-DrugBank.d245.s10|120-129|miconazole|drug
DDI-DrugBank.d245.s10|131-147|antifungal agents|group
DDI-DrugBank.d245.s10|149-149|n|drug
DDI-DrugBank.d245.s10|194-207|anticoagulants|group
DDI-DrugBank.d245.s10|209-220|glutethimide|drug
DDI-DrugBank.d245.s10|222-227|heroin|drug_n
DDI-DrugBank.d245.s10|229-245|antifungal agents|group
DDI-DrugBank.d245.s10|290-307|acetilsalicic acid|drug
DDI-DrugBank.d245.s10|309-325|antifungal agents|group
DDI-DrugBank.d245.s10|327-332|heroin|drug_n
DDI-DrugBank.d245.s10|377-388|glutethimide|drug
DDI-DrugBank.d245.s10|390-403|anticoagulants|group
DDI-DrugBank.d245.s10|405-419|chloramphenicol|drug_n
DDI-DrugBank.d245.s10|464-481|acetilsalicic acid|drug
DDI-DrugBank.d245.s10|483-488|heroin|drug_n
DDI-DrugBank.d171.s0|0-6|Tagamet|drug
DDI-DrugBank.d171.s0|130-157|warfarin-type anticoagulants|drug
DDI-DrugBank.d171.s0|160-168|phenytoin|drug
DDI-DrugBank.d171.s0|171-181|propranolol|drug
DDI-DrugBank.d171.s0|184-193|nifedipine|drug
DDI-DrugBank.d171.s0|196-211|chlordiazepoxide|drug
DDI-DrugBank.d171.s0|214-221|diazepam|drug
DDI-DrugBank.d171.s2|127-140|anticoagulants|group
DDI-DrugBank.d171.s2|408-421|anticoagulants|group
DDI-DrugBank.d171.s3|17-25|phenytoin|drug
DDI-DrugBank.d171.s3|28-36|lidocaine|drug
DDI-DrugBank.d171.s3|43-54|theophylline|drug
DDI-DrugBank.d171.s4|64-70|Tagamet|group
DDI-DrugBank.d171.s4|160-167|Theo-Dur|drug
DDI-DrugBank.d171.s4|242-253|theophylline|drug
DDI-DrugBank.d171.s6|0-11|theophylline|drug
DDI-DrugBank.d171.s8|63-74|ketoconazole|drug
DDI-DrugBank.d171.s9|102-112|amoxicillin|drug
DDI-DrugBank.d171.s9|114-122|trazodone|drug
DDI-DrugBank.d171.s9|124-132|phenytoin|drug
DDI-DrugBank.d171.s9|161-178|acetilsalicic acid|drug
DDI-DrugBank.d171.s9|180-191|glutethimide|drug
DDI-DrugBank.d171.s9|193-199|aspirin|drug
DDI-DrugBank.d171.s9|201-205|xanax|drug
DDI-DrugBank.d171.s10|100-106|Tagamet|drug
DDI-DrugBank.d237.s0|40-65|cytochrome P450 3A4 enzyme|group
DDI-DrugBank.d237.s1|113-121|cisapride|drug
DDI-DrugBank.d237.s1|211-219|cisapride|drug
DDI-DrugBank.d237.s2|47-60|troleandomycin|drug_n
DDI-DrugBank.d237.s2|97-105|cisapride|drug
DDI-DrugBank.d237.s2|150-158|cisapride|drug
DDI-DrugBank.d237.s3|18-221|Concurrent administration of certain anticholinergic compounds, such as <drug>belladonna alkaloids</drug> and <drug>dicyclomine</drug>, would be expected to compromise the beneficial effects of cisapride.|group
DDI-DrugBank.d237.s3|90-109|belladonna alkaloids|drug
DDI-DrugBank.d237.s3|115-125|dicyclomine|drug
DDI-DrugBank.d237.s5|107-115|cisapride|drug
DDI-DrugBank.d237.s6|0-15|Antidepressants:|drug
DDI-DrugBank.d237.s6|17-24|In vitro|drug
DDI-DrugBank.d237.s6|26-29|data|drug
DDI-DrugBank.d237.s6|31-38|indicate|drug
DDI-DrugBank.d237.s6|40-43|that|drug
DDI-DrugBank.d237.s6|45-54|nefazodone|drug
DDI-DrugBank.d237.s6|56-63|inhibits|drug
DDI-DrugBank.d237.s6|65-67|the|drug
DDI-DrugBank.d237.s6|69-78|metabolism|drug
DDI-DrugBank.d237.s6|80-81|of|drug
DDI-DrugBank.d237.s6|83-91|cisapride|drug
DDI-DrugBank.d237.s7|44-60|oral ketoconazole|group
DDI-DrugBank.d237.s9|11-12|14|group
DDI-DrugBank.d237.s9|21-24|male|group
DDI-DrugBank.d237.s9|30-35|female|group
DDI-DrugBank.d237.s9|82-90|cisapride|drug
DDI-DrugBank.d237.s9|96-107|ketoconazole|drug
DDI-DrugBank.d237.s11|35-44|cimetidine|drug
DDI-DrugBank.d237.s11|50-59|ranitidine|drug
DDI-DrugBank.d237.s11|110-118|cisapride|drug
DDI-DrugBank.d237.s12|21-29|indinavir|group
DDI-DrugBank.d237.s12|35-43|ritonavir|group
DDI-DrugBank.d237.s13|7-15|cisapride|group
DDI-DrugBank.d237.s14|94-107|anticoagulants|group
DDI-DrugBank.d237.s14|110-126|antifungal agents|group
DDI-DrugBank.d237.s14|129-135|aspirin|brand
DDI-DrugBank.d237.s14|138-143|heroin|drug_n
DDI-DrugBank.d237.s14|229-242|anticoagulants|group
DDI-DrugBank.d237.s14|245-261|antifungal agents|group
DDI-DrugBank.d237.s14|264-270|aspirin|brand
DDI-DrugBank.d237.s14|273-278|heroin|drug_n
DDI-DrugBank.d237.s15|0-24|tricyclic antidepressants|drug
DDI-DrugBank.d237.s15|35-47|amitriptyline|drug
DDI-DrugBank.d237.s16|8-18|maprotiline|group
DDI-DrugBank.d237.s16|57-67|maprotiline|drug
DDI-DrugBank.d237.s17|8-32|antipsychotic medications|group
DDI-DrugBank.d237.s17|43-52|sertindole|drug
DDI-DrugBank.d237.s18|0-9|astemizole|drug
DDI-DrugBank.d237.s18|12-19|bepridil|drug
DDI-DrugBank.d237.s18|22-33|sparfloxacin|drug
DDI-DrugBank.d237.s18|36-45|terodiline|drug
DDI-DrugBank.d237.s20|20-35|gastric emptying|group
DDI-DrugBank.d237.s20|95-101|medines|drug
DDI-DrugBank.d237.s21|19-32|anticoagulants|group
DDI-DrugBank.d237.s21|43-59|antifungal agents|group
DDI-DrugBank.d237.s21|89-106|acetilsalicic acid|drug
DDI-DrugBank.d237.s21|111-122|glutethimide|drug
DDI-DrugBank.d237.s21|165-171|aspirin|brand
DDI-DrugBank.d237.s21|266-271|heroin|drug_n
DDI-DrugBank.d464.s0|57-84| <drug_n> <drug_n> <drug_n> |group
DDI-DrugBank.d464.s2|0-10|combination|drug
DDI-DrugBank.d250.s0|14-56|antibiotics (aminoglycosides and polymyxin)|group
DDI-DrugBank.d250.s1|77-90|anticoagulants|group
DDI-DrugBank.d250.s1|93-109|antifungal agents|group
DDI-DrugBank.d250.s1|115-131|clostridium toxin|drug_n
DDI-DrugBank.d250.s2|0-26|Curariform muscle relaxants|drug
DDI-DrugBank.d250.s2|34-45|tubocurarine|drug
DDI-DrugBank.d250.s2|75-79|ether|drug
DDI-DrugBank.d250.s2|82-96|succinylcholine|drug
DDI-DrugBank.d250.s2|123-107||drug
DDI-DrugBank.d250.s2|273-122||drug
DDI-DrugBank.d250.s3|7-17|cephalothin|group
DDI-DrugBank.d250.s3|53-64|Coly-Mycin M|brand
DDI-DrugBank.d250.s4|23-41| sodium cephalothin|group
DDI-DrugBank.d250.s4|47-58|Coly-Mycin M|brand
DDI-DrugBank.d317.s0|0-17|acetilsalicic acid|drug
DDI-DrugBank.d317.s0|19-30|glutethimide|drug
DDI-DrugBank.d317.s0|32-45|anticoagulants|group
DDI-DrugBank.d317.s0|47-63|antifungal agents|group
DDI-DrugBank.d317.s0|108-114|aspirin|brand
DDI-DrugBank.d317.s0|116-120|xanax|brand
DDI-DrugBank.d317.s1|12-27|prothrombin time|group
DDI-DrugBank.d317.s1|30-56|partial thromboplastin time|group
DDI-DrugBank.d317.s1|63-87|platelet aggregation time|group
DDI-DrugBank.d317.s4|20-33|anticoagulants|group
DDI-DrugBank.d317.s6|10-41|plasminogen antigen and activity|group
DDI-DrugBank.d317.s7|3-20|acetilsalicic acid|drug
DDI-DrugBank.d317.s7|22-35|anticoagulants|group
DDI-DrugBank.d317.s7|37-48|glutethimide|drug
DDI-DrugBank.d317.s7|50-66|clostridium toxin|drug_n
DDI-DrugBank.d317.s7|68-73|heroin|drug
DDI-DrugBank.d317.s7|75-91|antifungal agents|group
DDI-DrugBank.d317.s7|93-99|aspirin|drug
DDI-DrugBank.d317.s7|101-105|xanax|brand
DDI-DrugBank.d317.s7|107-117|amphetamine|drug_n
DDI-DrugBank.d317.s7|119-136|acetilsalicic acid|drug
DDI-DrugBank.d317.s7|138-154|clostridium toxin|drug_n
DDI-DrugBank.d317.s7|156-167|glutethimide|drug
DDI-DrugBank.d317.s7|169-174|heroin|drug_n
DDI-DrugBank.d317.s7|176-189|anticoagulants|group
DDI-DrugBank.d317.s7|191-202|glutethimide|drug
DDI-DrugBank.d317.s7|204-220|clostridium toxin|drug_n
DDI-DrugBank.d317.s7|222-227|heroin|drug
DDI-DrugBank.d317.s7|229-245|antifungal agents|group
DDI-DrugBank.d317.s7|247-253|aspirin|drug
DDI-DrugBank.d317.s7|255-259|xanax|brand
DDI-DrugBank.d317.s7|261-271|amphetamine|drug_n
DDI-DrugBank.d317.s8|10-33|thyroid-binding globulin|group
DDI-DrugBank.d317.s10|0-48|Free T4 and free T3 concentrations are unaltered.|drug
DDI-DrugBank.d317.s12|3-20|acetilsalicic acid|drug
DDI-DrugBank.d317.s12|22-35|anticoagulants|group
DDI-DrugBank.d317.s12|37-48|glutethimide|drug
DDI-DrugBank.d317.s12|50-56|aspirin|brand
DDI-DrugBank.d317.s12|58-74|clostridium toxin|drug_n
DDI-DrugBank.d317.s12|76-81|heroin|drug
DDI-DrugBank.d317.s12|83-94|glutethimide|drug
DDI-DrugBank.d317.s12|96-112|antifungal agents|group
DDI-DrugBank.d317.s12|114-131|acetilsalicic acid|drug
DDI-DrugBank.d317.s12|133-146|anticoagulants|group
DDI-DrugBank.d317.s12|148-164|clostridium toxin|drug_n
DDI-DrugBank.d317.s12|198-209|glutethimide|drug
DDI-DrugBank.d317.s18|3-20|acetilsalicic acid|drug
DDI-DrugBank.d317.s18|22-33|glutethimide|drug
DDI-DrugBank.d317.s18|35-41|aspirin|drug
DDI-DrugBank.d317.s18|43-59|clostridium toxin|drug_n
DDI-DrugBank.d317.s18|61-66|heroin|drug_n
DDI-DrugBank.d317.s18|68-81|anticoagulants|group
DDI-DrugBank.d317.s18|83-99|antifungal agents|group
DDI-DrugBank.d317.s18|101-105|xanax|brand
DDI-DrugBank.d317.s18|107-117|amphetamine|drug_n
DDI-DrugBank.d317.s18|119-132|benzodiazepine|drug_n
DDI-DrugBank.d439.s0|66-81|diuretic therapy|group
DDI-DrugBank.d101.s0|0-69|Steady state plasma digitoxin concentrations did not appear to change.|drug
DDI-DrugBank.d101.s1|32-38|digoxin|drug
DDI-DrugBank.d101.s2|19-27|digitoxin|drug
DDI-DrugBank.d185.s1|7-23|co-administration|group
DDI-DrugBank.d185.s2|9-15|Dapsone|drug
DDI-DrugBank.d185.s2|32-34|DHA|drug
DDI-DrugBank.d185.s2|78-99|<group>TMP/SMX</group>|drug
DDI-DrugBank.d185.s2|78-84|TMP/SMX|group
DDI-DrugBank.d185.s3|69-86|acetilsalicic acid|drug
DDI-DrugBank.d185.s4|41-48|rifampin|drug
DDI-DrugBank.d185.s4|51-65|anticonvulsants|group
DDI-DrugBank.d185.s4|72-82|John's Wort|drug
DDI-DrugBank.d185.s5|0-11|John s wort)|drug
DDI-DrugBank.d185.s6|0-149|With oral dapsone treatment, folic acid antagonists such as pyrimethamine have been noted to possibly increase the likelihood of hematologic reactions|drug
DDI-DrugBank.d185.s8|0-17|acetilsalicic acid|drug
DDI-DrugBank.d185.s8|19-30|glutethimide|drug
DDI-DrugBank.d185.s8|32-45|anticoagulants|group
DDI-DrugBank.d185.s8|47-53|aspirin|drug
DDI-DrugBank.d185.s8|55-55|n|drug
DDI-DrugBank.d185.s8|57-73|antifungal agents|group
DDI-DrugBank.d185.s8|118-118|n|drug
DDI-DrugBank.d185.s8|120-134|antidepressants|group
DDI-DrugBank.d185.s8|136-147|glutethimide|drug
DDI-DrugBank.d185.s8|149-165|antifungal agents|group
DDI-DrugBank.d185.s8|167-167|n|drug
DDI-DrugBank.d185.s8|169-182|anticoagulants|group
DDI-DrugBank.d185.s8|184-201|acetilsalicic acid|drug
DDI-DrugBank.d185.s8|246-262|antifungal agents|group
DDI-DrugBank.d185.s8|264-264|n|drug
DDI-DrugBank.d185.s8|266-280|antidepressants|group
DDI-DrugBank.d185.s8|282-293|glutethimide|drug
DDI-DrugBank.d69.s0|7-16|cerubidine|group
DDI-DrugBank.d69.s1|0-9|Cerubidine|drug
DDI-DrugBank.d69.s1|130-139|Cerubidine|drug
DDI-DrugBank.d69.s2|40-49|Cerubidine|group
DDI-DrugBank.d69.s3|20-29|Cerubidine|drug
DDI-DrugBank.d69.s4|0-11|methotrexate|drug
DDI-DrugBank.d69.s4|13-34|high-dose methotrexate|drug
DDI-DrugBank.d69.s4|36-40|toxin|drug_n
DDI-DrugBank.d69.s4|42-52|anphetamine|drug_n
DDI-DrugBank.d69.s4|54-65|methotrexate|drug_n
DDI-DrugBank.d69.s4|67-71|toxin|drug_n
DDI-DrugBank.d69.s4|73-83|anphetamine|drug_n
DDI-DrugBank.d69.s4|85-96|methotrexate|drug_n
DDI-DrugBank.d69.s4|98-102|toxin|drug_n
DDI-DrugBank.d69.s4|104-114|anphetamine|drug_n
DDI-DrugBank.d69.s4|116-127|methotrexate|drug_n
DDI-DrugBank.d69.s4|129-133|toxin|drug_n
DDI-DrugBank.d69.s4|135-145|anphetamine|drug_n
DDI-DrugBank.d69.s4|147-158|methotrexate|drug_n
DDI-DrugBank.d69.s4|160-164|toxin|drug_n
DDI-DrugBank.d69.s4|166-176|anphetamine|drug_n
DDI-DrugBank.d69.s4|178-189|methotrexate|drug_n
DDI-DrugBank.d69.s4|191-195|toxin|drug_n
DDI-DrugBank.d69.s4|197-207|anphetamine|drug_n
DDI-DrugBank.d69.s4|209-220|methotrexate|drug_n
DDI-DrugBank.d69.s4|222-226|toxin|drug_n
DDI-DrugBank.d69.s4|228-238|anphetamine|drug_n
DDI-DrugBank.d69.s4|240-251|methotrexate|drug_n
DDI-DrugBank.d197.s0|0-6|General|drug
DDI-DrugBank.d197.s0|48-55| studies|drug
DDI-DrugBank.d197.s0|91-95|human|drug
DDI-DrugBank.d197.s0|134-143|microsomes|drug
DDI-DrugBank.d197.s0|189-190|no|drug
DDI-DrugBank.d197.s0|232-233|of|drug
DDI-DrugBank.d197.s0|277-280|P450|drug
DDI-DrugBank.d197.s0|282-290|-mediated|drug
DDI-DrugBank.d197.s0|292-295|drug|drug
DDI-DrugBank.d197.s0|341-344|that|drug
DDI-DrugBank.d197.s0|381-386|likely|drug
DDI-DrugBank.d197.s0|422-423|be|drug
DDI-DrugBank.d197.s0|459-466|clinical|drug
DDI-DrugBank.d197.s1|41-169|Co-administration of PRECEDEX with anesthetics, sedatives, hypnotics, and opioids is likely to lead to an enhancement of effects.|drug
DDI-DrugBank.d197.s2|0-10|sevoflurane|drug
DDI-DrugBank.d197.s2|13-22|isoflurane|drug
DDI-DrugBank.d197.s2|25-32|propofol|drug
DDI-DrugBank.d197.s2|35-44|alfentanil|drug
DDI-DrugBank.d197.s2|47-55|midazolam|drug
DDI-DrugBank.d197.s3|40-54|dexmedetomidine|drug
DDI-DrugBank.d197.s3|60-106|isoflurane, propofol, alfentanil, and midazolam|group
DDI-DrugBank.d197.s5|24-279|In one study of 10 healthy volunteers, administration of PRECEDEX for 45 minutes at a plasma concentration of 1 (one) ng/mL resulted in no clinically meaningful increases in the magnitude or neuromuscular blockade associated with rocuronium administration.|group
DDI-DrugBank.d168.s0|0-3|drug|drug
DDI-DrugBank.d168.s0|5-10|groups|group
DDI-DrugBank.d168.s0|12-15|drug|drug
DDI-DrugBank.d168.s0|17-22|drug_n|drug_n
DDI-DrugBank.d168.s0|24-27|drug|drug
DDI-DrugBank.d168.s0|29-34|groups|group
DDI-DrugBank.d168.s0|72-77|drug_n|drug_n
DDI-DrugBank.d168.s0|79-84|groups|group
DDI-DrugBank.d168.s0|122-127|drug_n|drug_n
DDI-DrugBank.d168.s0|129-134|groups|group
DDI-DrugBank.d168.s0|136-139|drug|drug
DDI-DrugBank.d168.s0|141-146|drug_n|drug_n
DDI-DrugBank.d168.s0|184-189|groups|group
DDI-DrugBank.d168.s0|191-196|drug_n|drug_n
DDI-DrugBank.d168.s0|234-237|drug|drug
DDI-DrugBank.d168.s0|239-244|groups|group
DDI-DrugBank.d168.s0|246-251|drug_n|drug_n
DDI-DrugBank.d168.s0|289-294|drug_n|drug_n
DDI-DrugBank.d168.s0|296-299|drug|drug
DDI-DrugBank.d168.s0|301-306|groups|group
DDI-DrugBank.d168.s0|344-349|drug_n|drug_n
DDI-DrugBank.d168.s0|351-354|drug|drug
DDI-DrugBank.d19.s0|194-203|Disulfiram|drug
DDI-DrugBank.d19.s2|92-100|phenytoin|group
DDI-DrugBank.d19.s2|106-114|disulfram|drug
DDI-DrugBank.d19.s2|116-124|phenytoin|group
DDI-DrugBank.d19.s2|130-142|carbamazepine|drug_n
DDI-DrugBank.d19.s2|236-244|phenytoin|group
DDI-DrugBank.d19.s2|250-258|disulfram|drug
DDI-DrugBank.d19.s2|260-268|phenytoin|group
DDI-DrugBank.d19.s2|274-286|carbamazepine|drug_n
DDI-DrugBank.d19.s2|380-388|phenytoin|group
DDI-DrugBank.d19.s2|394-402|disulfram|drug
DDI-DrugBank.d19.s2|404-412|phenytoin|group
DDI-DrugBank.d19.s2|418-430|carbamazepine|drug_n
DDI-DrugBank.d19.s2|524-532|phenytoin|group
DDI-DrugBank.d19.s4|16-24|phenytoin|drug
DDI-DrugBank.d19.s6|44-57|anticoagulants|group
DDI-DrugBank.d19.s6|86-95|disulfiram|drug_n
DDI-DrugBank.d19.s6|104-113|disulfiram|drug_n
DDI-DrugBank.d19.s6|127-142|prothrombin time|group
DDI-DrugBank.d19.s7|16-24|isoniazid|drug
DDI-DrugBank.d19.s7|31-40|disulfiram|group
DDI-DrugBank.d19.s8|0-2|the|drug
DDI-DrugBank.d19.s8|15-20|should|drug
DDI-DrugBank.d19.s9|35-44|disulfiram|drug
DDI-DrugBank.d19.s9|149-158|disulfiram|drug
DDI-DrugBank.d371.s0|0-7|TAXOTERE|drug
DDI-DrugBank.d371.s0|9-20|interactions|group
DDI-DrugBank.d371.s0|22-24|N/A|drug
DDI-DrugBank.d371.s0|96-98|N/A|group
DDI-DrugBank.d371.s0|100-102|N/A|brand
DDI-DrugBank.d371.s0|104-106|N/A|drug_n
DDI-DrugBank.d371.s1|197-210|anticoagulants|group
DDI-DrugBank.d371.s1|213-229|antifungal agents|group
DDI-DrugBank.d371.s1|232-238|aspirin|brand
DDI-DrugBank.d371.s1|245-250|heroin|drug_n
DDI-DrugBank.d371.s2|39-45|TOXETRE|group
DDI-DrugBank.d367.s1|17-28|human plasma|group
DDI-DrugBank.d367.s1|99-105|digoxin|drug
DDI-DrugBank.d367.s1|108-115|warfarin|group
DDI-DrugBank.d367.s1|118-126|phenytoin|drug
DDI-DrugBank.d367.s1|131-142|indomethacin|group
DDI-DrugBank.d367.s2|0-101|There is no information on the effect of other highly plasma protein bound drugs on doxazosin binding.|drug
DDI-DrugBank.d367.s3|115-132|thiazide diuretics|group
DDI-DrugBank.d367.s3|135-154|beta-blocking agents|group
DDI-DrugBank.d367.s3|161-196|nonsteroidal anti-inflammatory drugs|group
DDI-DrugBank.d367.s5|63-71|doxazosin|drug
DDI-DrugBank.d367.s6|20-37|doxazosin mesylate|drug
DDI-DrugBank.d367.s7|6-7|no|drug
DDI-DrugBank.d367.s7|57-58|no|drug
DDI-DrugBank.d367.s9|0-116|Analgesic/anti-inflammatory (e.g., acetaminophen, aspirin, codeine and codeine combinations, ibuprofen, indomethacin)|drug
DDI-DrugBank.d367.s10|3-20|acetilsalicic acid|drug
DDI-DrugBank.d367.s10|22-33|glutethimide|drug
DDI-DrugBank.d367.s10|35-48|anticoagulants|group
DDI-DrugBank.d367.s10|50-66|antifungal agents|group
DDI-DrugBank.d367.s10|155-161|aspirin|drug
DDI-DrugBank.d367.s10|163-167|xanax|brand
DDI-DrugBank.d367.s11|19-30|erythromycin|drug
DDI-DrugBank.d367.s11|33-65|trimethoprim and sulfamethoxazole|drug
DDI-DrugBank.d367.s11|68-78|amoxicillin|drug
DDI-DrugBank.d367.s12|3-20|acetilsalicic acid|drug
DDI-DrugBank.d367.s12|22-33|glutethimide|drug
DDI-DrugBank.d367.s12|35-41|aspirin|drug
DDI-DrugBank.d367.s12|43-59|clostridium toxin|drug_n
DDI-DrugBank.d367.s12|61-66|heroin|drug_n
DDI-DrugBank.d367.s12|68-81|anticoagulants|group
DDI-DrugBank.d367.s12|83-99|antifungal agents|group
DDI-DrugBank.d367.s12|101-107|aspirin|brand
DDI-DrugBank.d367.s12|109-113|xanax|brand
DDI-DrugBank.d367.s12|115-131|clostridium toxin|drug_n
DDI-DrugBank.d367.s12|133-138|heroin|drug_n
DDI-DrugBank.d367.s14|3-20|acetilsalicic acid|drug
DDI-DrugBank.d367.s14|22-33|glutethimide|drug
DDI-DrugBank.d367.s14|35-48|anticoagulants|group
DDI-DrugBank.d367.s14|50-66|antifungal agents|group
DDI-DrugBank.d367.s14|155-161|aspirin|drug
DDI-DrugBank.d367.s14|163-167|xanax|brand
DDI-DrugBank.d367.s15|29-36|atenolol|drug
DDI-DrugBank.d367.s15|39-57|hydrochlorothiazide|group
DDI-DrugBank.d367.s15|60-70|propranolol|drug
DDI-DrugBank.d367.s16|3-20|acetilsalicic acid|drug
DDI-DrugBank.d367.s16|22-33|glutethimide|drug
DDI-DrugBank.d367.s16|35-41|aspirin|drug
DDI-DrugBank.d367.s16|43-59|clostridium toxin|drug_n
DDI-DrugBank.d367.s16|61-66|heroin|drug_n
DDI-DrugBank.d367.s16|68-81|anticoagulants|group
DDI-DrugBank.d367.s16|83-99|antifungal agents|group
DDI-DrugBank.d367.s16|101-107|aspirin|brand
DDI-DrugBank.d367.s16|109-113|xanax|brand
DDI-DrugBank.d367.s16|115-131|clostridium toxin|drug_n
DDI-DrugBank.d367.s16|133-138|heroin|drug_n
DDI-DrugBank.d367.s18|3-20|acetilsalicic acid|drug
DDI-DrugBank.d367.s18|22-33|glutethimide|drug
DDI-DrugBank.d367.s18|35-41|aspirin|drug
DDI-DrugBank.d367.s18|104-117|anticoagulants|group
DDI-DrugBank.d367.s18|119-135|antifungal agents|group
DDI-DrugBank.d367.s18|137-141|xanax|brand
DDI-DrugBank.d367.s18|225-238|anticoagulants|group
DDI-DrugBank.d367.s18|240-256|antifungal agents|group
