DDI-MedLine.d48.s5|0-28|[(14)C]-diethyl pyrocarbonate|drug
DDI-DrugBank.d171.s1|216-222| heroin|drug_n
DDI-DrugBank.d171.s2|0-10|prothrombin|drug
DDI-DrugBank.d171.s2|12-18|Tagamet|drug
DDI-DrugBank.d171.s2|20-30|prothrombin|drug
DDI-DrugBank.d171.s2|32-38|Tagamet|drug
DDI-DrugBank.d171.s2|40-50|prothrombin|drug
DDI-DrugBank.d171.s2|52-58|Tagamet|drug
DDI-DrugBank.d171.s2|60-70|prothrombin|drug
DDI-DrugBank.d171.s2|72-78|Tagamet|drug
DDI-DrugBank.d171.s2|80-90|prothrombin|drug
DDI-DrugBank.d171.s2|92-98|Tagamet|drug
DDI-DrugBank.d171.s2|100-110|prothrombin|drug
DDI-DrugBank.d171.s2|112-118|Tagamet|drug
DDI-DrugBank.d171.s2|120-130|prothrombin|drug
DDI-DrugBank.d171.s2|132-138|Tagamet|drug
DDI-DrugBank.d171.s2|140-150|prothrombin|drug
DDI-DrugBank.d171.s2|152-158|Tagamet|drug
DDI-DrugBank.d171.s2|160-170|prothrombin|drug
DDI-DrugBank.d171.s2|172-178|Tagamet|drug
DDI-DrugBank.d171.s2|180-190|prothrombin|drug
DDI-DrugBank.d171.s2|192-198|Tagamet|drug
DDI-DrugBank.d171.s2|200-210|prothrombin|drug
DDI-DrugBank.d171.s2|212-218|Tagamet|drug
DDI-DrugBank.d171.s2|220-230|prothrombin|drug
DDI-DrugBank.d171.s2|232-238|Tagamet|drug
DDI-DrugBank.d171.s2|240-250|prothrombin|drug
DDI-DrugBank.d171.s2|252-258|Tagamet|drug
DDI-DrugBank.d171.s2|260-270|prothrombin|drug
DDI-DrugBank.d171.s2|272-278|Tagamet|drug
DDI-DrugBank.d171.s3|17-25|phenytoin|drug
DDI-DrugBank.d171.s3|28-36|lidocaine|group
DDI-DrugBank.d171.s7|0-6|Tagamet|drug
DDI-DrugBank.d171.s7|8-25|acetilsalicic acid|drug
DDI-DrugBank.d171.s7|27-38|glutethimide|drug
DDI-DrugBank.d171.s7|40-53|anticoagulants|group
DDI-DrugBank.d171.s7|55-71|antifungal agents|group
DDI-DrugBank.d171.s7|73-79|aspirin|brand
DDI-DrugBank.d171.s7|81-85|xanax|brand
DDI-DrugBank.d171.s7|87-103|clostridium toxin|drug_n
DDI-DrugBank.d171.s7|105-110|heroin|drug_n
DDI-DrugBank.d171.s7|112-129|acetilsalicic acid|drug
DDI-DrugBank.d171.s7|131-142|glutethimide|drug
DDI-DrugBank.d171.s7|144-157|anticoagulants|group
DDI-DrugBank.d171.s7|159-175|antifungal agents|group
DDI-DrugBank.d171.s7|177-183|aspirin|brand
DDI-DrugBank.d171.s7|185-189|xanax|brand
DDI-DrugBank.d171.s7|191-207|clostridium toxin|drug_n
DDI-DrugBank.d171.s7|209-214|heroin|drug_n
DDI-DrugBank.d171.s7|216-233|acetilsalicic acid|drug
DDI-DrugBank.d171.s7|235-246|glutethimide|drug
DDI-DrugBank.d171.s7|248-261|anticoagulants|group
DDI-DrugBank.d171.s7|263-279|antifungal agents|group
DDI-DrugBank.d171.s7|281-287|aspirin|brand
DDI-DrugBank.d171.s7|289-293|xanax|brand
DDI-DrugBank.d171.s7|295-311|clostridium toxin|drug_n
DDI-DrugBank.d171.s7|313-318|heroin|drug_n
DDI-DrugBank.d171.s8|63-74|ketoconazole|drug
DDI-DrugBank.d171.s8|134-140|heparin|group
DDI-DrugBank.d171.s8|146-153|warfarin|group
DDI-DrugBank.d171.s8|182-198|clostridium toxin|drug_n
DDI-DrugBank.d171.s8|204-214|fluconazole|brand
DDI-DrugBank.d171.s8|245-256|glutethimide|drug
DDI-DrugBank.d171.s8|262-270|phenytoin|drug
DDI-DrugBank.d171.s8|384-391|antacids|drug
DDI-DrugBank.d171.s8|397-404|alkalies|drug
DDI-DrugBank.d171.s8|694-700|aspirin|drug
DDI-DrugBank.d171.s8|706-710|xanax|drug
DDI-DrugBank.d171.s9|75-84|cimetidine|drug
DDI-DrugBank.d171.s10|0-6|Tagamet|drug
DDI-DrugBank.d171.s10|8-17|probenecid|drug
DDI-DrugBank.d171.s10|19-33|chloramphenicol|drug
DDI-DrugBank.d171.s10|35-39|group|drug
DDI-DrugBank.d171.s10|41-45|group|drug
DDI-DrugBank.d171.s10|47-51|group|drug
DDI-DrugBank.d171.s10|53-57|group|drug_n
DDI-DrugBank.d171.s10|59-63|group|drug_n
DDI-DrugBank.d171.s10|65-69|group|drug_n
DDI-DrugBank.d171.s10|71-75|group|drug_n
DDI-DrugBank.d171.s10|77-81|group|drug_n
DDI-DrugBank.d171.s10|83-87|group|drug_n
DDI-DrugBank.d171.s10|89-93|group|drug_n
DDI-DrugBank.d171.s10|95-99|group|drug_n
DDI-DrugBank.d171.s10|101-105|group|drug_n
DDI-DrugBank.d171.s10|107-111|group|drug_n
DDI-DrugBank.d171.s10|113-117|group|drug_n
DDI-DrugBank.d171.s10|119-123|group|drug_n
DDI-DrugBank.d171.s10|125-129|group|drug_n
DDI-DrugBank.d171.s10|131-135|group|drug_n
DDI-DrugBank.d171.s10|137-141|group|drug_n
DDI-DrugBank.d171.s10|143-147|group|drug_n
DDI-DrugBank.d171.s10|149-153|group|drug_n
DDI-DrugBank.d171.s10|155-159|group|drug_n
DDI-DrugBank.d171.s10|161-165|group|drug_n
DDI-DrugBank.d171.s10|167-171|group|drug_n
DDI-DrugBank.d171.s10|173-177|group|drug_n
DDI-DrugBank.d171.s10|179-183|group|drug_n
DDI-DrugBank.d171.s10|185-189|group|drug_n
DDI-DrugBank.d237.s1|113-121|cisapride|drug
DDI-DrugBank.d237.s1|211-219|cisapride|drug
DDI-DrugBank.d237.s2|52-65|clarithromycin|drug
DDI-DrugBank.d237.s2|68-79|erythromycin|drug
DDI-DrugBank.d237.s2|86-99|troleandomycin|drug
DDI-DrugBank.d237.s3|90-109|belladonna alkaloids|drug
DDI-DrugBank.d237.s3|115-125|dicyclomine|drug
DDI-DrugBank.d237.s4|0-13|Anticoagulants|group
DDI-DrugBank.d237.s5|107-115|cisapride|drug
DDI-DrugBank.d237.s6|0-14|antidepressants|drug
DDI-DrugBank.d237.s6|17-17|n|drug
DDI-DrugBank.d237.s6|19-19|n|drug
DDI-DrugBank.d237.s6|21-28|in vitro|drug
DDI-DrugBank.d237.s6|49-49|n|drug
DDI-DrugBank.d237.s6|51-65|antidepressants|group
DDI-DrugBank.d237.s6|68-68|n|drug
DDI-DrugBank.d237.s6|70-70|n|drug
DDI-DrugBank.d237.s6|72-72|n|drug
DDI-DrugBank.d237.s6|74-74|n|drug
DDI-DrugBank.d237.s6|76-76|n|drug
DDI-DrugBank.d237.s6|78-78|n|drug
DDI-DrugBank.d237.s6|80-80|n|drug
DDI-DrugBank.d237.s6|82-82|n|drug
DDI-DrugBank.d237.s6|84-84|n|drug
DDI-DrugBank.d237.s6|86-86|n|drug
DDI-DrugBank.d237.s6|88-88|n|drug
DDI-DrugBank.d237.s6|90-90|n|drug
DDI-DrugBank.d237.s6|92-92|n|drug
DDI-DrugBank.d237.s6|94-94|n|drug
DDI-DrugBank.d237.s6|96-96|n|drug
DDI-DrugBank.d237.s6|98-98|n|drug
DDI-DrugBank.d237.s6|100-100|n|drug
DDI-DrugBank.d237.s6|102-102|n|drug
DDI-DrugBank.d237.s6|104-104|n|drug
DDI-DrugBank.d237.s6|106-106|n|drug
DDI-DrugBank.d237.s6|108-108|n|drug
DDI-DrugBank.d237.s6|110-110|n|drug
DDI-DrugBank.d237.s6|112-112|n|drug
DDI-DrugBank.d237.s6|114-114|n|drug
DDI-DrugBank.d237.s6|116-116|n|drug
DDI-DrugBank.d237.s6|118-118|n|drug
DDI-DrugBank.d237.s6|120-120|n|drug
DDI-DrugBank.d237.s6|122-122|n|drug
DDI-DrugBank.d237.s6|124-124|n|drug
DDI-DrugBank.d237.s6|126-126|n|drug
DDI-DrugBank.d237.s6|128-128|n|drug
DDI-DrugBank.d237.s6|130-130|n|drug
DDI-DrugBank.d237.s6|132-132|n|drug
DDI-DrugBank.d237.s6|134-134|n|drug
DDI-DrugBank.d237.s7|14-25| fluconazole|drug
DDI-DrugBank.d237.s7|28-40| itraconazole|drug
DDI-DrugBank.d237.s7|43-60| oral ketoconazole|drug
DDI-DrugBank.d237.s8|0-11|Ketoconazole|drug
DDI-DrugBank.d237.s8|13-19|Nitrate|drug
DDI-DrugBank.d237.s8|21-36|Antifungal agent|drug
DDI-DrugBank.d237.s8|38-58|Proton pump inhibitor|drug
DDI-DrugBank.d237.s8|60-79|Metabolism inhibitor|drug
DDI-DrugBank.d237.s8|81-99|Antimicrobial agent|drug
DDI-DrugBank.d237.s8|101-116|Antifungal agent|drug
DDI-DrugBank.d237.s8|118-138|Proton pump inhibitor|drug
DDI-DrugBank.d237.s8|140-146|Nitrate|drug
DDI-DrugBank.d237.s8|148-163|Antifungal agent|drug
DDI-DrugBank.d237.s8|165-184|Metabolism inhibitor|drug
DDI-DrugBank.d237.s8|186-204|Antimicrobial agent|drug
DDI-DrugBank.d237.s8|206-212|Nitrate|drug
DDI-DrugBank.d237.s8|214-229|Antifungal agent|drug
DDI-DrugBank.d237.s8|231-251|Proton pump inhibitor|drug
DDI-DrugBank.d237.s8|253-264|Ketoconazole|drug
DDI-DrugBank.d237.s8|266-272|Nitrate|drug
DDI-DrugBank.d237.s8|274-289|Antifungal agent|drug
DDI-DrugBank.d237.s8|291-310|Metabolism inhibitor|drug
DDI-DrugBank.d237.s8|312-330|Antimicrobial agent|drug
DDI-DrugBank.d237.s8|332-338|Nitrate|drug
DDI-DrugBank.d237.s8|340-355|Antifungal agent|drug
DDI-DrugBank.d237.s8|357-377|Proton pump inhibitor|drug
DDI-DrugBank.d237.s8|379-390|Ketoconazole|drug
DDI-DrugBank.d237.s8|392-398|Nitrate|drug
DDI-DrugBank.d237.s8|400-415|Antifungal agent|drug
DDI-DrugBank.d237.s8|417-436|Metabolism inhibitor|drug
DDI-DrugBank.d237.s9|0-8|cisapride|drug
DDI-DrugBank.d237.s9|10-21|ketoconazole|drug
DDI-DrugBank.d237.s9|23-69|A study in 14 normal male and female volunteers|drug
DDI-DrugBank.d237.s9|71-103|suggests that coadministration of|drug
DDI-DrugBank.d237.s9|105-118|anticoagulants|group
DDI-DrugBank.d237.s9|120-121|To|drug
DDI-DrugBank.d237.s9|123-131|result in|drug
DDI-DrugBank.d237.s9|133-149|antifungal agents|group
DDI-DrugBank.d237.s9|151-152|In|drug
DDI-DrugBank.d237.s9|154-155|14|drug
DDI-DrugBank.d237.s9|157-162|normal|drug
DDI-DrugBank.d237.s9|164-167|male|drug
DDI-DrugBank.d237.s9|169-171|and|drug
DDI-DrugBank.d237.s9|173-178|female|drug
DDI-DrugBank.d237.s9|180-189|volunteers|drug
DDI-DrugBank.d237.s9|191-198|Suggests|drug
DDI-DrugBank.d237.s9|200-203|that|drug
DDI-DrugBank.d237.s9|205-220|coadministration|drug
DDI-DrugBank.d237.s9|222-223|of|drug
DDI-DrugBank.d237.s9|225-238|anticoagulants|group
DDI-DrugBank.d237.s9|240-242|and|drug
DDI-DrugBank.d237.s9|244-255|ketoconazole|drug
DDI-DrugBank.d237.s9|257-259|can|drug
DDI-DrugBank.d237.s9|261-266|result|drug
DDI-DrugBank.d237.s9|268-269|In|drug
DDI-DrugBank.d237.s9|271-282|prolongation|drug
DDI-DrugBank.d237.s9|284-285|of|drug
DDI-DrugBank.d237.s9|287-299|anticoagulant|group
DDI-DrugBank.d237.s9|301-306|effect|drug
DDI-DrugBank.d237.s9|308-309|on|drug
DDI-DrugBank.d237.s9|311-313|The|drug
DDI-DrugBank.d237.s10|25-34|Cimetidine|drug
DDI-DrugBank.d237.s10|112-120|Cisapride|drug
DDI-DrugBank.d237.s10|145-153|Cisapride|drug
DDI-DrugBank.d237.s10|197-206|Ranitidine|drug
DDI-DrugBank.d237.s11|35-44|cimetidine|drug
DDI-DrugBank.d237.s12|49-57|indinavir|drug
DDI-DrugBank.d237.s12|63-71|ritonavir|drug
DDI-DrugBank.d237.s14|94-107|anticoagulants|group
DDI-DrugBank.d237.s14|110-126|antifungal agents|group
DDI-DrugBank.d237.s14|129-135|aspirin|brand
DDI-DrugBank.d237.s14|138-142|xanax|brand
DDI-DrugBank.d237.s14|148-153|heroin|drug_n
DDI-DrugBank.d237.s14|193-201|cisapride|drug
DDI-DrugBank.d237.s15|0-24|tricyclic antidepressants|drug
DDI-DrugBank.d237.s15|91-115|tricyclic antidepressants|drug
DDI-DrugBank.d237.s15|184-208|tricyclic antidepressants|drug
DDI-DrugBank.d237.s15|279-303|tricyclic antidepressants|drug
DDI-DrugBank.d237.s15|376-400|tricyclic antidepressants|drug
DDI-DrugBank.d237.s15|475-499|tricyclic antidepressants|drug
DDI-DrugBank.d237.s15|576-600|tricyclic antidepressants|drug
DDI-DrugBank.d237.s15|679-703|tricyclic antidepressants|drug
DDI-DrugBank.d237.s16|0-10|maprotiline|drug
DDI-DrugBank.d237.s17|0-9|sertindole|drug
DDI-DrugBank.d237.s18|0-9|astemizole|drug
DDI-DrugBank.d237.s18|12-19|bepridil|drug
DDI-DrugBank.d237.s18|22-33|sparfloxacin|drug
DDI-DrugBank.d237.s18|40-49|terodiline|drug
DDI-DrugBank.d237.s21|19-32|anticoagulants|group
DDI-DrugBank.d237.s21|108-119|glutethimide|drug
DDI-DrugBank.d237.s21|269-285|antifungal agents|group
DDI-DrugBank.d237.s21|428-433|heroin|drug_n
DDI-DrugBank.d237.s21|468-485|acetilsalicic acid|drug
DDI-DrugBank.d237.s21|534-547|anticoagulants|group
DDI-DrugBank.d237.s21|694-710|antifungal agents|group
DDI-DrugBank.d237.s21|853-858|heroin|drug_n
DDI-DrugBank.d237.s22|65-70|plasma|drug
DDI-DrugBank.d464.s0|0-6|codeine|drug
DDI-DrugBank.d464.s0|34-41|naloxone|drug
DDI-DrugBank.d464.s0|47-54|naloxone|drug
DDI-DrugBank.d464.s0|82-89|naloxone|drug
DDI-DrugBank.d464.s0|95-102|naloxone|drug
DDI-DrugBank.d464.s0|130-137|naloxone|drug
DDI-DrugBank.d464.s0|143-150|naloxone|drug
DDI-DrugBank.d464.s0|178-185|naloxone|drug
DDI-DrugBank.d464.s0|191-198|naloxone|drug
DDI-DrugBank.d464.s0|226-233|naloxone|drug
DDI-DrugBank.d464.s0|239-246|naloxone|drug
DDI-DrugBank.d464.s0|274-281|naloxone|drug
DDI-DrugBank.d464.s0|287-294|naloxone|drug
DDI-DrugBank.d464.s0|322-329|naloxone|drug
DDI-DrugBank.d464.s0|335-342|naloxone|drug
DDI-DrugBank.d464.s0|370-377|naloxone|drug
DDI-DrugBank.d464.s0|383-390|naloxone|drug
DDI-DrugBank.d464.s0|418-425|naloxone|drug
DDI-DrugBank.d464.s0|431-438|naloxone|drug
DDI-DrugBank.d464.s0|466-473|naloxone|drug
DDI-DrugBank.d464.s0|479-486|naloxone|drug
DDI-DrugBank.d464.s0|514-521|naloxone|drug
DDI-DrugBank.d464.s2|0-10|combination|drug
DDI-DrugBank.d250.s0|0-56|Certain other antibiotics (aminoglycosides and polymyxin)|drug
DDI-DrugBank.d250.s1|0-11|Coly-Mycin M|drug
DDI-DrugBank.d250.s1|13-22|Coly-Mycin|drug
DDI-DrugBank.d250.s1|24-35|Coly-Mycin C|drug
DDI-DrugBank.d250.s1|37-48|Coly-Mycin M|drug
DDI-DrugBank.d250.s1|50-59|Coly-Mycin|drug
DDI-DrugBank.d250.s1|61-72|Coly-Mycin C|drug
DDI-DrugBank.d250.s1|74-85|Coly-Mycin M|drug
DDI-DrugBank.d250.s1|87-96|Coly-Mycin|drug
DDI-DrugBank.d250.s1|98-109|Coly-Mycin C|drug
DDI-DrugBank.d250.s1|111-122|Coly-Mycin M|drug
DDI-DrugBank.d250.s1|124-133|Coly-Mycin|drug
DDI-DrugBank.d250.s1|135-146|Coly-Mycin C|drug
DDI-DrugBank.d250.s1|148-159|Coly-Mycin M|drug
DDI-DrugBank.d250.s1|161-170|Coly-Mycin|drug
DDI-DrugBank.d250.s1|172-183|Coly-Mycin C|drug
DDI-DrugBank.d250.s1|185-196|Coly-Mycin M|drug
DDI-DrugBank.d250.s1|198-207|Coly-Mycin|drug
DDI-DrugBank.d250.s1|209-220|Coly-Mycin C|drug
DDI-DrugBank.d250.s1|222-233|Coly-Mycin M|drug
DDI-DrugBank.d250.s1|235-244|Coly-Mycin|drug
DDI-DrugBank.d250.s1|246-257|Coly-Mycin C|drug
DDI-DrugBank.d250.s1|259-270|Coly-Mycin M|drug
DDI-DrugBank.d250.s1|272-281|Coly-Mycin|drug
DDI-DrugBank.d250.s1|283-294|Coly-Mycin C|drug
DDI-DrugBank.d250.s2|33-44|tubocurarine|drug
DDI-DrugBank.d250.s3|0-17|Sodium cephalothin|drug
DDI-DrugBank.d250.s3|53-64|Coly-Mycin M|group
DDI-DrugBank.d250.s4|0-17|Sodium cephalothin|drug
DDI-DrugBank.d250.s4|23-45|Coly-Mycin M Parenteral|drug
DDI-DrugBank.d317.s0|0-17|acetilsalicic acid|drug
DDI-DrugBank.d317.s0|19-30|glutethimide|drug
DDI-DrugBank.d317.s0|32-39| aspirin|drug
DDI-DrugBank.d317.s0|41-52|glutethimide|drug
DDI-DrugBank.d317.s0|54-66|phenobarbital|drug
DDI-DrugBank.d317.s0|68-80|phenobarbital|drug
DDI-DrugBank.d317.s0|82-94|phenobarbital|drug
DDI-DrugBank.d317.s0|96-108|phenobarbital|drug
DDI-DrugBank.d317.s0|110-122|phenobarbital|drug
DDI-DrugBank.d317.s0|124-136|phenobarbital|drug
DDI-DrugBank.d317.s0|138-150|phenobarbital|drug
DDI-DrugBank.d317.s0|152-164|phenobarbital|drug
DDI-DrugBank.d317.s0|166-178|phenobarbital|drug
DDI-DrugBank.d317.s0|180-192|phenobarbital|drug
DDI-DrugBank.d317.s0|194-206|phenobarbital|drug
DDI-DrugBank.d317.s0|208-220|phenobarbital|drug
DDI-DrugBank.d317.s0|222-234|phenobarbital|drug
DDI-DrugBank.d317.s0|236-248|phenobarbital|drug
DDI-DrugBank.d317.s0|250-262|phenobarbital|drug
DDI-DrugBank.d317.s0|264-276|phenobarbital|drug
DDI-DrugBank.d317.s0|278-290|phenobarbital|drug
DDI-DrugBank.d317.s0|292-304|phenobarbital|drug
DDI-DrugBank.d317.s0|306-318|phenobarbital|drug
DDI-DrugBank.d317.s0|320-332|phenobarbital|drug
DDI-DrugBank.d317.s0|334-346|phenobarbital|drug
DDI-DrugBank.d317.s1|0-27|Accelerated prothrombin time|drug
DDI-DrugBank.d317.s1|30-56|partial thromboplastin time|drug
DDI-DrugBank.d317.s1|59-83|platelet aggregation time|drug
DDI-DrugBank.d317.s3|123-142|beta-thromboglobulin|drug_n
DDI-DrugBank.d317.s4|0-13|anti-factor Xa|drug
DDI-DrugBank.d317.s4|15-30|antithrombin III|drug
DDI-DrugBank.d317.s4|32-56|antithrombin III activity|drug
DDI-DrugBank.d317.s8|10-33|thyroid-binding globulin|group
DDI-DrugBank.d317.s8|81-101|total thyroid hormone|group
DDI-DrugBank.d317.s10|0-6|Free T4|drug
DDI-DrugBank.d317.s10|12-18|Free T3|drug
DDI-DrugBank.d317.s11|12-38|thyroid replacement therapy|drug
DDI-DrugBank.d317.s13|56-86|Corticosteroid binding globulin|drug
DDI-DrugBank.d317.s13|95-122|Sex hormone binding globulin|drug
DDI-DrugBank.d317.s14|0-44|Free hormone concentrations may be decreased.|drug
DDI-DrugBank.d317.s15|40-70|angiotensinogen/renin substrate|drug
DDI-DrugBank.d317.s15|73-91|alpha-1-antitrypsin|drug
DDI-DrugBank.d317.s15|94-107|cereuloplasmin|drug
DDI-DrugBank.d317.s18|3-14|glutethimide|drug
DDI-DrugBank.d317.s18|17-34|acetilsalicic acid|drug
DDI-DrugBank.d317.s18|38-51|anticoagulants|group
DDI-DrugBank.d317.s18|54-60|aspirin|brand
DDI-DrugBank.d317.s18|63-79|clostridium toxin|drug_n
DDI-DrugBank.d317.s18|82-98|antifungal agents|group
DDI-DrugBank.d317.s18|101-109|narcotics|drug
DDI-DrugBank.d317.s18|194-204|antibiotics|group
DDI-DrugBank.d317.s18|207-223|antifungal agents|drug_n
DDI-DrugBank.d317.s18|226-230|xanax|brand
DDI-DrugBank.d317.s18|233-250|acetilsalicic acid|drug
DDI-DrugBank.d317.s18|335-348|anticoagulants|group
DDI-DrugBank.d317.s18|351-367|clostridium toxin|drug_n
DDI-DrugBank.d317.s18|370-386|antifungal agents|group
DDI-DrugBank.d317.s18|471-481|antibiotics|group
DDI-DrugBank.d317.s18|484-488|xanax|brand
DDI-DrugBank.d317.s18|491-508|acetilsalicic acid|drug
DDI-DrugBank.d101.s1|0-6|digoxin|drug
DDI-DrugBank.d101.s2|0-8|digitoxin|drug
DDI-DrugBank.d185.s0|65-79|ACZONE Gel, 5%,|drug
DDI-DrugBank.d185.s0|133-143|antibiotics|group
DDI-DrugBank.d185.s1|45-47|TMP|drug
DDI-DrugBank.d185.s1|53-55|SMX|drug
DDI-DrugBank.d185.s3|69-86|acetilsalicic acid|drug
DDI-DrugBank.d185.s3|136-152|clostridium toxin|drug_n
DDI-DrugBank.d185.s4|41-48|rifampin|drug
DDI-DrugBank.d185.s4|51-65|anticonvulsants|group
DDI-DrugBank.d185.s5|43-48|toxins|drug_n
DDI-DrugBank.d185.s6|29-41|pyrimethamine|drug
DDI-DrugBank.d185.s8|0-17|acetilsalicic acid|drug
DDI-DrugBank.d185.s8|19-30|glutethimide|drug
DDI-DrugBank.d185.s8|32-38|aspirin|drug
DDI-DrugBank.d185.s8|40-44|xanax|drug
DDI-DrugBank.d185.s8|165-182|acetilsalicic acid|drug
DDI-DrugBank.d185.s8|184-195|glutethimide|drug
DDI-DrugBank.d185.s8|197-203|aspirin|drug
DDI-DrugBank.d185.s8|205-209|xanax|drug
DDI-DrugBank.d185.s8|330-347|acetilsalicic acid|drug
DDI-DrugBank.d185.s8|349-360|glutethimide|drug
DDI-DrugBank.d185.s8|362-368|aspirin|drug
DDI-DrugBank.d185.s8|370-374|xanax|drug
DDI-DrugBank.d185.s8|495-512|acetilsalicic acid|drug
DDI-DrugBank.d185.s8|514-525|glutethimide|drug
DDI-DrugBank.d185.s8|527-533|aspirin|drug
DDI-DrugBank.d69.s1|0-9|Cerubidine|drug
DDI-DrugBank.d69.s1|115-125|doxorubicin|drug
DDI-DrugBank.d69.s2|0-9|Cerubidine|drug
DDI-DrugBank.d69.s2|12-27|Cyclophosphamide|drug
DDI-DrugBank.d69.s3|0-9|Cerubidine|drug
DDI-DrugBank.d69.s4|0-11|methotrexate|drug
DDI-DrugBank.d197.s0|0-17|acetilsalicic acid|drug
DDI-DrugBank.d197.s0|19-30|glutethimide|drug
DDI-DrugBank.d197.s0|32-38|aspirin|drug
DDI-DrugBank.d197.s0|40-44|xanax|drug
DDI-DrugBank.d197.s1|62-69|PRECEDEX|drug
DDI-DrugBank.d197.s2|0-10|sevoflurane|drug
DDI-DrugBank.d197.s2|13-22|isoflurane|drug
DDI-DrugBank.d197.s2|25-32|propofol|drug
DDI-DrugBank.d197.s2|35-44|alfentanil|drug
DDI-DrugBank.d197.s2|47-55|midazolam|drug
DDI-DrugBank.d197.s3|40-54|dexmedetomidine|drug
DDI-DrugBank.d197.s5|81-90| PRECEDEX |drug
DDI-DrugBank.d19.s1|0-9|disulfiram|drug
DDI-DrugBank.d19.s2|92-100|phenytoin|drug
DDI-DrugBank.d19.s2|131-139|phenytoin|drug
DDI-DrugBank.d19.s2|173-182|disulfiram|drug
DDI-DrugBank.d19.s2|200-208|phenytoin|drug
DDI-DrugBank.d19.s2|230-238|phenytoin|drug
DDI-DrugBank.d19.s4|16-24|phenytoin|drug
DDI-DrugBank.d19.s4|27-39|carbamazepine|drug
DDI-DrugBank.d19.s4|42-50|trigemine|drug
DDI-DrugBank.d19.s4|54-66|phenobarbital|drug
DDI-DrugBank.d19.s4|69-80|ethosuximide|drug
DDI-DrugBank.d19.s4|84-92|phenytoin|drug
DDI-DrugBank.d19.s4|95-107|carbamazepine|drug
DDI-DrugBank.d19.s4|228-234| heroin|drug_n
DDI-DrugBank.d19.s4|237-247|amphetamine|drug_n
DDI-DrugBank.d19.s4|251-261|amphetamine|drug
DDI-DrugBank.d19.s4|264-274|amphetamine|drug_n
DDI-DrugBank.d19.s4|367-377|amphetamine|drug_n
DDI-DrugBank.d19.s4|520-530|amphetamine|drug_n
DDI-DrugBank.d19.s7|16-24|isoniazid|drug
DDI-DrugBank.d19.s7|31-40|disulfiram|drug
DDI-DrugBank.d19.s8|0-9|disulfiram|drug
DDI-DrugBank.d19.s9|35-44|disulfiram|drug
DDI-DrugBank.d19.s9|149-158|disulfiram|drug
DDI-DrugBank.d19.s10|0-9|Disulfiram|drug
DDI-DrugBank.d19.s11|0-65|The relevance of this finding to humans is not known at this time.|drug
DDI-DrugBank.d371.s0|0-7|TAXOTERE|drug
DDI-DrugBank.d371.s1|197-207|cylosporine|drug
DDI-DrugBank.d371.s1|210-220|terfenadine|drug
DDI-DrugBank.d371.s1|223-234|ketoconazole|drug
DDI-DrugBank.d371.s1|237-248|erythromycin|drug
DDI-DrugBank.d371.s1|255-268|troleandomycin|drug
DDI-DrugBank.d371.s2|40-58| acetilsalicic acid|drug
DDI-DrugBank.d367.s0|21-29|doxazosin|drug
DDI-DrugBank.d367.s1|44-61|doxazosin mesylate|drug
DDI-DrugBank.d367.s1|99-105|digoxin|drug
DDI-DrugBank.d367.s1|108-115|warfarin|drug
DDI-DrugBank.d367.s1|118-126|phenytoin|drug
DDI-DrugBank.d367.s1|131-142|indomethacin|drug
DDI-DrugBank.d367.s2|0-8|doxazosin|drug
DDI-DrugBank.d367.s2|10-18|doxazosin|drug
DDI-DrugBank.d367.s2|20-28|doxazosin|drug
DDI-DrugBank.d367.s2|30-38|doxazosin|drug
DDI-DrugBank.d367.s2|40-48|doxazosin|drug
DDI-DrugBank.d367.s2|50-58|doxazosin|drug
DDI-DrugBank.d367.s2|60-68|doxazosin|drug
DDI-DrugBank.d367.s2|70-78|doxazosin|drug
DDI-DrugBank.d367.s2|80-88|doxazosin|drug
DDI-DrugBank.d367.s2|90-98|doxazosin|drug
DDI-DrugBank.d367.s2|100-108|doxazosin|drug
DDI-DrugBank.d367.s2|110-118|doxazosin|drug
DDI-DrugBank.d367.s2|120-128|doxazosin|drug
DDI-DrugBank.d367.s2|130-138|doxazosin|drug
DDI-DrugBank.d367.s2|140-148|doxazosin|drug
DDI-DrugBank.d367.s2|150-158|doxazosin|drug
DDI-DrugBank.d367.s2|160-168|doxazosin|drug
DDI-DrugBank.d367.s2|170-178|doxazosin|drug
DDI-DrugBank.d367.s2|180-188|doxazosin|drug
DDI-DrugBank.d367.s2|190-198|doxazosin|drug
DDI-DrugBank.d367.s2|200-208|doxazosin|drug
DDI-DrugBank.d367.s2|210-218|doxazosin|drug
DDI-DrugBank.d367.s2|220-228|doxazosin|drug
DDI-DrugBank.d367.s7|6-86|no formal interaction studies have been conducted, no interactions were observed.|group
DDI-DrugBank.d367.s8|0-8|Doxazosin|drug
DDI-DrugBank.d367.s8|111-118|prazosin|drug
DDI-DrugBank.d367.s8|176-184|terazosin|drug
DDI-DrugBank.d367.s8|200-209|amlodipine|drug
DDI-DrugBank.d367.s8|225-233|verapamil|drug
DDI-DrugBank.d367.s9|0-116|Analgesic/anti-inflammatory (e.g., acetaminophen, aspirin, codeine and codeine combinations, ibuprofen, indomethacin)|group
DDI-DrugBank.d367.s11|19-30|erythromycin|drug
DDI-DrugBank.d367.s11|33-65|trimethoprim and sulfamethoxazole|group
DDI-DrugBank.d367.s11|68-78|amoxicillin|drug
