DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug_n
DDI-DrugBank.d776.s10|0-8|Phenytoin|drug
DDI-DrugBank.d776.s10|11-18|DIFLUCAN|brand
DDI-DrugBank.d776.s10|59-67|phenytoin|drug
DDI-DrugBank.d776.s11|22-30|phenytoin|drug
DDI-DrugBank.d776.s11|69-76|DIFLUCAN|brand
DDI-DrugBank.d776.s11|82-90|phenytoin|drug
DDI-DrugBank.d776.s13|0-11|Cyclosporine|drug
DDI-DrugBank.d776.s13|14-21|DIFLUCAN|brand
DDI-DrugBank.d776.s13|50-61|cyclosporine|drug
DDI-DrugBank.d776.s14|22-33|cyclosporine|drug
DDI-DrugBank.d776.s14|108-115|DIFLUCAN|brand
DDI-DrugBank.d776.s14|121-132|cyclosporine|drug
DDI-DrugBank.d776.s16|0-7|Rifampin|drug
DDI-DrugBank.d776.s16|10-17|Rifampin|drug
DDI-DrugBank.d776.s16|72-79|DIFLUCAN|brand
DDI-DrugBank.d776.s16|161-169|phenytoin|drug
DDI-DrugBank.d776.s16|172-183|procainamide|drug
DDI-DrugBank.d776.s16|186-198|phenobarbital|drug
DDI-DrugBank.d776.s16|205-217|carbamazepine|drug
DDI-DrugBank.d776.s16|235-242|rifampin|drug
DDI-DrugBank.d776.s16|264-271|DIFLUCAN|brand
DDI-DrugBank.d776.s16|331-338|rifampin|drug
DDI-DrugBank.d776.s16|364-371|DIFLUCAN|brand
DDI-DrugBank.d776.s16|386-393|DIFLUCAN|brand
DDI-DrugBank.d776.s16|454-461|rifampin|drug
DDI-DrugBank.d776.s16|537-544|DIFLUCAN|brand
DDI-DrugBank.d776.s16|562-569|rifampin|drug
DDI-DrugBank.d776.s16|591-600|probenecid|drug
DDI-DrugBank.d776.s17|93-100|DIFLUCAN|brand
DDI-DrugBank.d776.s17|131-138|rifampin|drug
DDI-DrugBank.d776.s18|0-11|Theophylline|drug
DDI-DrugBank.d776.s18|14-21|DIFLUCAN|brand
DDI-DrugBank.d776.s18|61-72|theophylline|drug
DDI-DrugBank.d776.s19|28-39|theophylline|drug
DDI-DrugBank.d776.s19|78-85|DIFLUCAN|brand
DDI-DrugBank.d776.s19|91-102|theophylline|drug
DDI-DrugBank.d776.s20|0-10|Terfenadine|drug
DDI-DrugBank.d776.s20|139-155|azole antifungals|group
DDI-DrugBank.d776.s20|177-187|terfenadine|drug
DDI-DrugBank.d776.s21|36-46|fluconazole|drug
DDI-DrugBank.d776.s22|51-61|fluconazole|drug
DDI-DrugBank.d776.s22|81-88|DIFLUCAN|brand
DDI-DrugBank.d776.s22|175-185|terfenadine|drug
DDI-DrugBank.d776.s23|20-30|fluconazole|drug
DDI-DrugBank.d776.s23|67-77|terfenadine|drug
DDI-DrugBank.d776.s24|24-34|fluconazole|drug
DDI-DrugBank.d776.s24|72-82|terfenadine|drug
DDI-DrugBank.d776.s25|0-8|Cisapride|drug
DDI-DrugBank.d776.s25|103-113|fluconazole|drug
DDI-DrugBank.d776.s25|119-127|cisapride|drug
DDI-DrugBank.d776.s26|42-52|fluconazole|drug
DDI-DrugBank.d776.s26|76-84|cisapride|drug
DDI-DrugBank.d776.s26|143-151|cisapride|drug
DDI-DrugBank.d776.s27|20-30|fluconazole|drug
DDI-DrugBank.d776.s27|37-45|cisapride|drug
DDI-DrugBank.d776.s28|0-9|Astemizole|drug
DDI-DrugBank.d776.s28|23-33|fluconazole|drug
DDI-DrugBank.d776.s28|67-76|astemizole|drug
DDI-DrugBank.d776.s29|86-96|fluconazole|drug
DDI-DrugBank.d776.s31|0-8|Rifabutin|drug
DDI-DrugBank.d776.s31|66-76|fluconazole|drug
DDI-DrugBank.d776.s31|82-90|rifabutin|drug
DDI-DrugBank.d776.s32|19-27|rifabutin|drug
DDI-DrugBank.d776.s32|33-43|fluconazole|drug
DDI-DrugBank.d776.s33|0-9|Tacrolimus|drug
DDI-DrugBank.d776.s33|74-84|fluconazole|drug
DDI-DrugBank.d776.s33|90-99|tacrolimus|drug
DDI-DrugBank.d776.s34|19-28|tacrolimus|drug
DDI-DrugBank.d776.s34|34-44|fluconazole|drug
DDI-DrugBank.d776.s35|13-27|Benzodiazepines|group
DDI-DrugBank.d776.s35|63-71|midazolam|drug
DDI-DrugBank.d776.s35|74-84|fluconazole|drug
DDI-DrugBank.d776.s35|123-131|midazolam|drug
DDI-DrugBank.d776.s36|15-23|midazolam|drug
DDI-DrugBank.d776.s36|88-98|fluconazole|drug
DDI-DrugBank.d776.s36|110-120|fluconazole|drug
DDI-DrugBank.d776.s36|237-143||drug
DDI-DrugBank.d776.s36|259-152||drug
DDI-DrugBank.d776.s36|386-227||drug
DDI-DrugBank.d776.s36|408-249||drug
DDI-DrugBank.d776.s36|535-278||drug
DDI-DrugBank.d776.s36|557-287||drug
DDI-DrugBank.d776.s36|684-362||drug
DDI-DrugBank.d776.s36|706-384||drug
DDI-DrugBank.d776.s36|833-413||drug
DDI-DrugBank.d776.s36|855-422||drug
DDI-DrugBank.d776.s37|16-30|benzodiazepines|group
DDI-DrugBank.d776.s37|122-132|fluconazole|drug
DDI-DrugBank.d776.s37|183-196|benzodiazepine|group
DDI-DrugBank.d776.s38|0-10|Fluconazole|drug
DDI-DrugBank.d776.s38|40-56|ethinyl estradiol|drug
DDI-DrugBank.d776.s38|63-76|levonorgestrel|drug
DDI-DrugBank.d776.s38|94-107|contraceptives|group
DDI-DrugBank.d776.s38|146-162|ethinyl estradiol|drug
DDI-DrugBank.d776.s38|168-181|levonorgestrel|drug
DDI-DrugBank.d776.s39|68-84|ethinyl estradiol|drug
DDI-DrugBank.d776.s39|90-103|levonorgestrel|drug
DDI-DrugBank.d776.s40|76-92|ethinyl estradiol|drug
DDI-DrugBank.d776.s40|98-111|levonorgestrel|drug
DDI-DrugBank.d776.s40|129-139|fluconazole|drug
DDI-DrugBank.d776.s41|29-39|fluconazole|drug
DDI-DrugBank.d776.s41|71-87|ethinyl estradiol|drug
DDI-DrugBank.d776.s41|93-106|levonorgestrel|drug
DDI-DrugBank.d776.s41|135-145|fluconazole|drug
DDI-DrugBank.d776.s41|167-183|ethinyl estradiol|drug
DDI-DrugBank.d776.s41|188-201|levonorgestrel|drug
DDI-DrugBank.d776.s43|216-226|Prothrombin|drug
DDI-DrugBank.d776.s43|302-309|warfarin|drug
DDI-DrugBank.d776.s43|367-375|Piroxicam|drug
DDI-DrugBank.d776.s43|381-393|acetaminophen|drug
DDI-DrugBank.d776.s43|451-458|warfarin|drug
DDI-DrugBank.d776.s43|468-478|Mecobalamin|drug
DDI-DrugBank.d776.s43|525-532|warfarin|drug
DDI-DrugBank.d776.s43|542-553|Cyclosporine|drug
DDI-DrugBank.d776.s43|559-567|phenytoin|drug
DDI-DrugBank.d776.s43|620-627|warfarin|drug
DDI-DrugBank.d776.s43|637-651|Corticosteroids|drug
DDI-DrugBank.d776.s43|678-685|warfarin|drug
DDI-DrugBank.d776.s43|695-703|Phenytoin|drug
DDI-DrugBank.d776.s43|735-742|warfarin|drug
DDI-DrugBank.d78.s0|0-7|Antacids|group
DDI-DrugBank.d78.s0|10-19|Sucralfate|drug
DDI-DrugBank.d78.s0|51-60|Quinolones|group
DDI-DrugBank.d78.s1|18-27|quinolones|group
DDI-DrugBank.d78.s1|34-41|antacids|group
DDI-DrugBank.d78.s1|54-61|aluminum|drug
DDI-DrugBank.d78.s1|64-72|magnesium|drug
DDI-DrugBank.d78.s1|78-84|calcium|drug
DDI-DrugBank.d78.s1|92-101|sucralfate|drug
DDI-DrugBank.d78.s1|109-121|metal cations|drug
DDI-DrugBank.d78.s1|131-134|iron|drug
DDI-DrugBank.d78.s1|208-212|VIDEX|brand
DDI-DrugBank.d78.s1|215-224|didanosine|drug
DDI-DrugBank.d78.s1|347-356|quinolones|group
DDI-DrugBank.d78.s1|429-432|Iron|drug
DDI-DrugBank.d78.s1|438-441|zinc|drug
DDI-DrugBank.d78.s1|485-489|videx|drug
DDI-DrugBank.d78.s1|491-495|Videx|brand
DDI-DrugBank.d78.s1|498-507|didanosine|drug
DDI-DrugBank.d78.s1|630-634|videx|group
DDI-DrugBank.d78.s1|707-710|Iron|drug
DDI-DrugBank.d78.s1|716-719|zinc|drug
DDI-DrugBank.d78.s2|72-84|grepafloxacin|drug
DDI-DrugBank.d78.s3|0-7|Caffeine|drug
DDI-DrugBank.d78.s3|9-19|Theobromine|drug
DDI-DrugBank.d78.s3|21-33|Grepafloxacin|drug
DDI-DrugBank.d78.s3|47-56|quinolones|group
DDI-DrugBank.d78.s3|89-96|caffeine|drug
DDI-DrugBank.d78.s3|102-112|theobromine|drug
DDI-DrugBank.d78.s4|6-15|stimulants|group
DDI-DrugBank.d78.s5|112-119|caffeine|drug
DDI-DrugBank.d78.s5|125-135|theobromine|drug
DDI-DrugBank.d78.s6|0-11|Theophylline|drug
DDI-DrugBank.d78.s6|14-26|Grepafloxacin|drug
DDI-DrugBank.d78.s6|76-87|theophylline|drug
DDI-DrugBank.d78.s6|165-83||drug
DDI-DrugBank.d78.s6|256-95||drug
DDI-DrugBank.d78.s6|335-157||drug
DDI-DrugBank.d78.s6|426-159||drug
DDI-DrugBank.d78.s6|509-172||drug
DDI-DrugBank.d78.s6|592-228||drug
DDI-DrugBank.d78.s6|671-230||drug
DDI-DrugBank.d78.s6|750-237||drug
DDI-DrugBank.d78.s7|6-17|theophylline|drug
DDI-DrugBank.d78.s7|48-60|grepafloxacin|drug
DDI-DrugBank.d78.s7|102-113|theophylline|drug
DDI-DrugBank.d78.s7|116-127|Theophylline|drug
DDI-DrugBank.d78.s7|334-346|grepafloxacin|drug
DDI-DrugBank.d78.s7|388-399|theophylline|drug
DDI-DrugBank.d78.s7|402-413|Theophylline|drug
DDI-DrugBank.d78.s7|454-465|theophylline|drug
DDI-DrugBank.d78.s7|497-508|theophylline|drug
DDI-DrugBank.d78.s7|535-546|Theophylline|drug
DDI-DrugBank.d78.s7|587-598|theophylline|drug
DDI-DrugBank.d78.s7|630-641|theophylline|drug
DDI-DrugBank.d78.s7|672-684|grepafloxacin|drug
DDI-DrugBank.d78.s7|726-737|theophylline|drug
DDI-DrugBank.d78.s7|740-751|Theophylline|drug
DDI-DrugBank.d78.s8|38-50|grepafloxacin|drug
DDI-DrugBank.d78.s8|79-90|theophylline|drug
DDI-DrugBank.d78.s8|97-108|theophylline|drug
DDI-DrugBank.d78.s8|180-192|grepafloxacin|drug
DDI-DrugBank.d78.s8|218-229|theophylline|drug
DDI-DrugBank.d78.s9|0-7|Warfarin|drug
DDI-DrugBank.d78.s9|32-39|warfarin|drug
DDI-DrugBank.d78.s9|99-111|grepafloxacin|drug
DDI-DrugBank.d78.s10|22-31|quinolones|group
DDI-DrugBank.d78.s10|78-85|warfarin|drug
DDI-DrugBank.d78.s10|196-218|quinolone antimicrobial|group
DDI-DrugBank.d78.s10|241-248|warfarin|drug
DDI-DrugBank.d78.s11|97-109|grepafloxacin|drug
DDI-DrugBank.d78.s11|114-125|theophylline|drug
DDI-DrugBank.d78.s11|142-154|grepafloxacin|drug
DDI-DrugBank.d78.s11|165-176|theophylline|drug
DDI-DrugBank.d78.s12|72-84|grepafloxacin|drug
DDI-DrugBank.d78.s12|107-112|C.P.A.|drug
DDI-DrugBank.d78.s12|114-113||drug
DDI-DrugBank.d78.s12|116-117|PA|drug
DDI-DrugBank.d78.s12|210-112||drug
DDI-DrugBank.d78.s12|272-202||drug
DDI-DrugBank.d78.s12|286-271||drug
DDI-DrugBank.d78.s12|288-272||drug
DDI-DrugBank.d78.s12|391-276||drug
DDI-DrugBank.d78.s12|405-277||drug
DDI-DrugBank.d78.s12|407-383||drug
DDI-DrugBank.d78.s12|436-384||drug
DDI-DrugBank.d78.s12|495-388||drug
DDI-DrugBank.d78.s12|509-389||drug
DDI-DrugBank.d78.s12|601-410||drug
DDI-DrugBank.d78.s12|649-480||drug
DDI-DrugBank.d78.s12|652-481||drug
DDI-DrugBank.d78.s12|691-586||drug
DDI-DrugBank.d78.s13|53-65|grepafloxacin|drug
DDI-DrugBank.d78.s13|101-112|theophylline|drug
DDI-DrugBank.d78.s14|19-28|quinolones|group
DDI-DrugBank.d78.s14|95-106|cyclosporine|drug
DDI-DrugBank.d78.s16|8-18|terfenadine|drug
DDI-DrugBank.d78.s16|21-30|astemizole|drug
DDI-DrugBank.d78.s16|33-41|cisapride|drug
DDI-DrugBank.d78.s16|44-52|midazolam|drug
DDI-DrugBank.d78.s16|59-67|triazolam|drug
DDI-DrugBank.d78.s17|50-62|grepafloxacin|drug
DDI-DrugBank.d78.s17|85-90|C.P.A.|drug
DDI-DrugBank.d78.s18|111-123|grepafloxacin|drug
DDI-DrugBank.d78.s19|0-35|Nonsteroidal Anti-inflammatory Drugs|group
DDI-DrugBank.d78.s19|38-43|NSAIDs|group
DDI-DrugBank.d78.s19|83-117|nonsteroidal anti inflammatory drug|group
DDI-DrugBank.d78.s19|126-134|quinolone|group
DDI-DrugBank.d78.s20|0-18|Antidiabetic Agents|group
DDI-DrugBank.d78.s20|152-161|quinolones|group
DDI-DrugBank.d78.s20|170-187|antidiabetic agent|group
DDI-DrugBank.d78.s20|189-189| |group
DDI-DrugBank.d78.s20|282-282| |group
DDI-DrugBank.d78.s20|477-486|quinolones|group
DDI-DrugBank.d78.s20|488-488| |group
DDI-DrugBank.d78.s20|577-577| |group
DDI-DrugBank.d78.s20|592-601|quinolones|group
DDI-DrugBank.d78.s20|748-754|insulin|group
DDI-DrugBank.d78.s20|764-782|antidiabetic agents|group
DDI-DrugBank.d78.s20|788-797|quinolones|group
DDI-DrugBank.d78.s20|799-799| |group
DDI-DrugBank.d78.s20|838-844|insulin|group
DDI-DrugBank.d302.s0|35-46|guanethidine|drug
DDI-DrugBank.d186.s0|261-267|lithium|drug
DDI-DrugBank.d186.s0|274-279|HALDOL|brand
DDI-DrugBank.d186.s1|81-87|lithium|drug
DDI-DrugBank.d186.s1|93-98|HALDOL|brand
DDI-DrugBank.d186.s3|14-33|antipsychotic agents|group
DDI-DrugBank.d186.s3|60-65|HALDOL|brand
DDI-DrugBank.d186.s3|122-132|anesthetics|group
DDI-DrugBank.d186.s3|135-141|opiates|group
DDI-DrugBank.d186.s3|148-154|alcohol|drug
DDI-DrugBank.d186.s4|60-70|haloperidol|drug
DDI-DrugBank.d186.s4|76-83|rifampin|drug
DDI-DrugBank.d186.s4|93-103|haloperidol|drug
DDI-DrugBank.d186.s5|52-62|haloperidol|drug
DDI-DrugBank.d186.s5|68-75|rifampin|drug
DDI-DrugBank.d186.s5|97-104|rifampin|drug
DDI-DrugBank.d186.s5|143-153|haloperidol|drug
DDI-DrugBank.d186.s6|62-69|rifampin|drug
DDI-DrugBank.d186.s6|106-116|haloperidol|drug
DDI-DrugBank.d514.s0|0-6|Opioids|group
DDI-DrugBank.d514.s1|26-59|central nervous system depressants|group
DDI-DrugBank.d514.s1|62-67|heroin|drug
DDI-DrugBank.d514.s2|22-27|heroin|drug
DDI-DrugBank.d514.s2|127-133|alcohol|drug
DDI-DrugBank.d514.s2|136-150|benzodiazepines|group
DDI-DrugBank.d514.s2|160-167|diazepam|drug
DDI-DrugBank.d514.s2|170-175|Valium|brand
DDI-DrugBank.d514.s2|204-212|methadone|drug
DDI-DrugBank.d514.s3|12-26|benzodiazepines|group
DDI-DrugBank.d514.s3|63-68|heroin|drug
DDI-DrugBank.d514.s4|0-6|Cocaine|drug
DDI-DrugBank.d514.s4|67-72|heroin|drug
DDI-DrugBank.d17.s0|0-13|Anticoagulants|group
DDI-DrugBank.d17.s1|54-71|thiazide diuretics|group
DDI-DrugBank.d17.s1|134-151|thiazide diuretics|group
DDI-DrugBank.d17.s1|214-231|thiazide diuretics|group
DDI-DrugBank.d17.s1|294-311|thiazide diuretics|group
DDI-DrugBank.d17.s1|374-391|thiazide diuretics|group
DDI-DrugBank.d17.s1|454-471|thiazide diuretics|group
DDI-DrugBank.d17.s1|534-551|thiazide diuretics|group
DDI-DrugBank.d17.s1|614-631|thiazide diuretics|group
DDI-DrugBank.d17.s1|694-711|thiazide diuretics|group
DDI-DrugBank.d17.s1|774-791|thiazide diuretics|group
DDI-DrugBank.d17.s1|854-871|thiazide diuretics|group
DDI-DrugBank.d17.s4|1-18|Thiazide diuretics|group
DDI-DrugBank.d17.s4|68-51||group
DDI-DrugBank.d17.s4|76-85|probenecid|drug
DDI-DrugBank.d17.s4|87-95|phenytoin|drug
DDI-DrugBank.d17.s4|97-109|phenobarbital|drug
DDI-DrugBank.d17.s4|111-124|phenylbutazone|drug
DDI-DrugBank.d17.s4|126-139|phenylbutyrate|drug
DDI-DrugBank.d17.s4|141-157|prolonged-release|drug
DDI-DrugBank.d17.s4|159-167|phenytoin|drug
DDI-DrugBank.d17.s4|169-185|prolonged-release|drug
DDI-DrugBank.d17.s4|187-195|phenytoin|drug
DDI-DrugBank.d17.s4|197-213|prolonged-release|drug
DDI-DrugBank.d17.s4|215-223|phenytoin|drug
DDI-DrugBank.d17.s4|225-241|prolonged-release|drug
DDI-DrugBank.d17.s4|243-251|phenytoin|drug
DDI-DrugBank.d17.s4|253-269|prolonged-release|drug
DDI-DrugBank.d17.s4|271-279|phenytoin|drug
DDI-DrugBank.d17.s4|281-297|prolonged-release|drug
DDI-DrugBank.d17.s4|299-307|phenytoin|drug
DDI-DrugBank.d17.s4|309-325|prolonged-release|drug
DDI-DrugBank.d17.s4|327-335|phenytoin|drug
DDI-DrugBank.d17.s4|337-353|prolonged-release|drug
DDI-DrugBank.d17.s4|355-363|phenytoin|drug
DDI-DrugBank.d17.s4|365-381|prolonged-release|drug
DDI-DrugBank.d17.s6|0-15|Antihypertensive|group
DDI-DrugBank.d17.s6|48-56|diazoxide|drug
DDI-DrugBank.d17.s6|117-141|skeletal-muscle relaxants|group
DDI-DrugBank.d17.s7|56-73|thiazide diuretics|group
DDI-DrugBank.d17.s9|0-13|Amphotericin B|drug
DDI-DrugBank.d17.s9|18-32|Corticosteroids|group
DDI-DrugBank.d17.s9|37-49|Corticotropin|drug
DDI-DrugBank.d17.s9|52-55|ACTH|drug
DDI-DrugBank.d17.s10|21-38|thiazide diuretics|group
DDI-DrugBank.d17.s11|0-17|Cardiac glycosides|group
DDI-DrugBank.d17.s12|21-38|thiazide diuretics|group
DDI-DrugBank.d17.s12|71-79|digitalis|group
DDI-DrugBank.d17.s13|0-9|Colestipol|drug
DDI-DrugBank.d17.s14|48-65|thiazide diuretics|group
DDI-DrugBank.d17.s15|46-55|colestipol|drug
DDI-DrugBank.d17.s17|1-18|Thiazide diuretics|group
DDI-DrugBank.d17.s17|51-63|beta-blockers|drug
DDI-DrugBank.d17.s17|103-120|thiazide diuretics|group
DDI-DrugBank.d17.s17|161-88||drug
DDI-DrugBank.d17.s17|220-160||drug
DDI-DrugBank.d17.s17|277-191||drug
DDI-DrugBank.d17.s17|336-191||drug
DDI-DrugBank.d17.s17|393-210||drug
DDI-DrugBank.d17.s17|452-241||drug
DDI-DrugBank.d17.s17|509-255||drug
DDI-DrugBank.d17.s17|568-286||drug
DDI-DrugBank.d17.s17|625-286||drug
DDI-DrugBank.d17.s17|684-305||drug
DDI-DrugBank.d17.s17|741-336||drug
DDI-DrugBank.d17.s18|107-123|thiazide diuretic|group
DDI-DrugBank.d17.s19|0-6|insulin|drug
DDI-DrugBank.d17.s20|0-6|Lithium|drug
DDI-DrugBank.d17.s21|21-38|thiazide diuretics|group
DDI-DrugBank.d17.s21|80-86|lithium|drug
DDI-DrugBank.d17.s22|0-10|Methenamine|drug
DDI-DrugBank.d17.s23|60-77|thiazide diuretics|group
DDI-DrugBank.d17.s24|0-29|Nonsteroidal anti-inflammatory|group
DDI-DrugBank.d17.s25|23-55|steroidal anti-inflammatory agent|group
DDI-DrugBank.d17.s25|72-79|diuretic|group
DDI-DrugBank.d17.s25|133-149|potassium sparing|group
DDI-DrugBank.d17.s25|156-173|thiazide diuretics|group
DDI-DrugBank.d17.s26|16-33|hydroflumethiazide|drug
DDI-DrugBank.d17.s26|39-75|nonsteroidal anti-inflammatory agents|group
DDI-DrugBank.d17.s26|182-189|diuretic|group
DDI-DrugBank.d17.s26|340-204||group
DDI-DrugBank.d17.s26|498-196||group
DDI-DrugBank.d17.s26|656-202||group
DDI-DrugBank.d17.s26|814-316||group
DDI-DrugBank.d17.s27|0-13|Norepinephrine|drug
DDI-DrugBank.d17.s28|1-9|Thiazides|group
DDI-DrugBank.d17.s28|51-64|norepinephrine|drug
DDI-DrugBank.d17.s28|74-59||drug
DDI-DrugBank.d17.s28|129-74||drug
DDI-DrugBank.d17.s28|203-129||drug
DDI-DrugBank.d17.s28|219-130||drug
DDI-DrugBank.d17.s28|274-196||drug
DDI-DrugBank.d17.s28|349-212||drug
DDI-DrugBank.d17.s28|365-267||drug
DDI-DrugBank.d17.s28|420-269||drug
DDI-DrugBank.d17.s28|495-335||drug
DDI-DrugBank.d17.s28|511-351||drug
DDI-DrugBank.d17.s28|566-406||drug
DDI-DrugBank.d17.s28|641-408||drug
DDI-DrugBank.d17.s28|657-474||drug
DDI-DrugBank.d17.s28|712-490||drug
DDI-DrugBank.d17.s30|0-11|Tubocurarine|drug
DDI-DrugBank.d17.s31|1-8|Thiazide|group
DDI-DrugBank.d17.s31|51-62|tubocurarine|drug
DDI-DrugBank.d17.s31|78-58||drug
DDI-DrugBank.d17.s31|108-76||drug
DDI-DrugBank.d17.s31|138-81||drug
DDI-DrugBank.d17.s31|168-99||drug
DDI-DrugBank.d17.s31|198-104||drug
DDI-DrugBank.d17.s31|228-122||drug
DDI-DrugBank.d17.s31|258-127||drug
DDI-DrugBank.d17.s31|288-145||drug
DDI-DrugBank.d17.s31|318-150||drug
DDI-DrugBank.d17.s31|348-168||drug
DDI-DrugBank.d17.s31|378-173||drug
DDI-DrugBank.d17.s31|408-191||drug
DDI-DrugBank.d17.s33|115-123|Thiazides|group
DDI-DrugBank.d17.s33|209-217|Thiazides|drug
DDI-DrugBank.d17.s33|303-192||group
DDI-DrugBank.d17.s33|397-278||group
DDI-DrugBank.d17.s33|491-288||group
DDI-DrugBank.d17.s33|585-364||group
DDI-DrugBank.d17.s33|679-374||group
DDI-DrugBank.d17.s33|773-450||group
DDI-DrugBank.d17.s33|867-460||group
DDI-DrugBank.d17.s33|961-536||group
DDI-DrugBank.d418.s0|60-67|Cyanokit|brand
DDI-DrugBank.d308.s0|27-37|HYDROXYZINE|drug
DDI-DrugBank.d308.s0|100-133|CENTRAL NERVOUS SYSTEM DEPRESSANTS|group
DDI-DrugBank.d308.s0|143-151|NARCOTICS|group
DDI-DrugBank.d308.s0|154-176|NON-NARCOTIC ANALGESICS|group
DDI-DrugBank.d308.s0|182-193|BARBITURATES|group
DDI-DrugBank.d308.s0|195-195| |group
DDI-DrugBank.d308.s0|275-285|HYDROXYZINE|group
DDI-DrugBank.d308.s0|408-418|HYDROXYZINE|group
DDI-DrugBank.d308.s0|516-526|HYDROXYZINE|group
DDI-DrugBank.d308.s0|582-595|MAO INHIBITORS|group
DDI-DrugBank.d308.s0|613-623|HYDROXYZINE|group
DDI-DrugBank.d308.s1|15-48|central nervous system depressants|group
DDI-DrugBank.d308.s1|86-96|hydroxyzine|drug
DDI-DrugBank.d308.s2|178-183|Atarax|brand
DDI-DrugBank.d308.s3|65-84|CNS depressant drugs|group
DDI-DrugBank.d308.s3|120-126|alcohol|drug
DDI-DrugBank.d515.s0|102-111|ifosfamide|drug
DDI-DrugBank.d515.s0|125-134|ifosfamide|drug
DDI-DrugBank.d549.s0|94-101|iloprost|drug
DDI-DrugBank.d549.s0|114-123|nifedipine|drug
DDI-DrugBank.d549.s0|126-134|diltiazem|drug
DDI-DrugBank.d549.s0|140-148|captopril|drug
DDI-DrugBank.d549.s1|9-16|iloprost|drug
DDI-DrugBank.d549.s1|74-85|vasodilators|group
DDI-DrugBank.d549.s1|91-113|antihypertensive agents|group
DDI-DrugBank.d549.s1|116-124|Illoprost|drug
DDI-DrugBank.d549.s1|180-191|vasodilators|group
DDI-DrugBank.d549.s1|197-219|antihypertensive agents|group
DDI-DrugBank.d549.s1|221-229|Illoprost|drug
DDI-DrugBank.d549.s1|285-296|vasodilators|group
DDI-DrugBank.d549.s1|302-324|antihypertensive agents|group
DDI-DrugBank.d549.s1|326-334|Illoprost|drug
DDI-DrugBank.d549.s1|390-401|vasodilators|group
DDI-DrugBank.d549.s1|407-429|antihypertensive agents|group
DDI-DrugBank.d549.s1|431-439|Illoprost|drug
DDI-DrugBank.d549.s1|495-506|vasodilators|group
DDI-DrugBank.d549.s1|512-534|antihypertensive agents|group
DDI-DrugBank.d549.s1|536-544|Illoprost|drug
DDI-DrugBank.d549.s1|600-611|vasodilators|group
DDI-DrugBank.d549.s1|617-639|antihypertensive agents|group
DDI-DrugBank.d549.s2|6-13|iloprost|drug
DDI-DrugBank.d549.s2|135-148|anticoagulants|group
DDI-DrugBank.d549.s3|24-31|iloprost|drug
DDI-DrugBank.d549.s3|60-73|anticoagulants|group
DDI-DrugBank.d549.s3|76-84|diuretics|group
DDI-DrugBank.d549.s3|87-104|cardiac glycosides|group
DDI-DrugBank.d549.s3|107-130|calcium channel blockers|group
DDI-DrugBank.d549.s3|133-142|analgesics|group
DDI-DrugBank.d549.s3|145-156|antipyretics|group
DDI-DrugBank.d549.s3|159-189|nonsteroidal antiinflammatories|group
DDI-DrugBank.d549.s3|192-206|corticosteroids|group
DDI-DrugBank.d549.s4|24-31|iloprost|drug
DDI-DrugBank.d549.s4|74-80|digoxin|drug
DDI-DrugBank.d549.s5|0-19|Acetylsalicylic acid|drug
DDI-DrugBank.d549.s5|71-78|iloprost|drug
DDI-DrugBank.d549.s6|71-78|iloprost|drug
DDI-DrugBank.d97.s0|0-8|Indinavir|drug
DDI-DrugBank.d97.s1|20-27|CRIXIVAN|brand
DDI-DrugBank.d97.s2|0-8|Indinavir|drug
DDI-DrugBank.d97.s3|81-89|indinavir|drug
DDI-DrugBank.d97.s3|138-146|indinavir|drug
DDI-DrugBank.d97.s4|20-27|CRIXIVAN|brand
DDI-DrugBank.d97.s4|95-103|indinavir|drug
DDI-DrugBank.d97.s4|158-166|indinavir|drug
DDI-DrugBank.d97.s6|45-52|CRIXIVAN|brand
DDI-DrugBank.d97.s8|0-14|Antiarrhythmics|group
DDI-DrugBank.d97.s8|17-26|amiodarone|drug
DDI-DrugBank.d97.s10|0-4|Ergot|group
DDI-DrugBank.d97.s10|19-35|dihydroergotamine|drug
DDI-DrugBank.d97.s10|38-47|ergonovine|drug
DDI-DrugBank.d97.s10|50-59|ergotamine|drug
DDI-DrugBank.d97.s10|62-77|methylergonovine|drug
DDI-DrugBank.d97.s11|93-97|ergot|group
DDI-DrugBank.d97.s12|0-17|Sedative/hypnotics|group
DDI-DrugBank.d97.s12|20-28|midazolam|drug
DDI-DrugBank.d97.s12|31-39|triazolam|drug
DDI-DrugBank.d97.s14|0-10|GI motility|group
DDI-DrugBank.d97.s14|20-28|cisapride|drug
DDI-DrugBank.d97.s16|0-10|Neuroleptic|group
DDI-DrugBank.d97.s16|13-20|pimozide|drug
DDI-DrugBank.d97.s18|17-31|St. John s wort|drug
DDI-DrugBank.d97.s18|34-53|Hypericum perforatum|drug
DDI-DrugBank.d97.s19|66-73|CRIXIVAN|brand
DDI-DrugBank.d97.s20|19-26|rifampin|drug
DDI-DrugBank.d97.s21|66-73|CRIXIVAN|brand
DDI-DrugBank.d97.s21|138-158|antiretroviral agents|group
DDI-DrugBank.d97.s22|0-27|HMG-CoA Reductase inhibitors|group
DDI-DrugBank.d97.s22|30-39|lovastatin|drug
DDI-DrugBank.d97.s22|42-52|simvastatin|drug
DDI-DrugBank.d97.s24|0-17|Protease inhibitor|group
DDI-DrugBank.d97.s24|20-29|atazanavir|drug
