DDI-MedLine.d48.s0|79-107|Clostridium difficile toxin A|group
DDI-DrugBank.d223.s15|36-41|CYP2D6|group
DDI-DrugBank.d223.s15|49-54|CYP1A2|group
DDI-DrugBank.d223.s15|62-67|CYP3A4|group
DDI-DrugBank.d223.s18|51-64|anticoagulants|group
DDI-DrugBank.d223.s19|0-13|MAO Inhibitors|drug
DDI-DrugBank.d223.s20|11-24|MAO inhibitors|group
DDI-DrugBank.d223.s23|156-180|tricyclic antidepressants|group
DDI-DrugBank.d223.s23|187-196|cimetidine|brand
DDI-DrugBank.d223.s24|60-65|levels|group
DDI-DrugBank.d223.s24|133-142|cimetidine|group
DDI-DrugBank.d223.s25|60-84|tricyclic antidepressants|group
DDI-DrugBank.d223.s25|107-116|cimetidine|group
DDI-DrugBank.d223.s25|146-155|cimetidine|group
DDI-DrugBank.d223.s25|218-242|tricyclic antidepressants|group
DDI-DrugBank.d223.s28|65-74|tolazamide|group
DDI-DrugBank.d44.s3|0-32|Drug/Laboratory Test Interactions|drug
DDI-DrugBank.d44.s3|145-151|RAPTIVA|drug
DDI-DrugBank.d531.s2|40-48|efavirenz|group
DDI-DrugBank.d531.s2|59-61|2C9|group
DDI-DrugBank.d531.s2|64-67|2C19|group
DDI-DrugBank.d531.s2|74-76|3A4|group
DDI-DrugBank.d531.s2|112-120|efavirenz|group
DDI-DrugBank.d531.s3|20-28|efavirenz|group
DDI-DrugBank.d531.s4|67-80|anticoagulants|group
DDI-DrugBank.d531.s4|83-99|antifungal agents|group
DDI-DrugBank.d531.s4|102-112|antibiotics|group
DDI-DrugBank.d531.s4|115-123|antidotes|group
DDI-DrugBank.d531.s4|129-145|antifungal agents|group
DDI-DrugBank.d531.s5|40-52|phenobarbital|group
DDI-DrugBank.d531.s5|55-62|rifampin|group
DDI-DrugBank.d531.s5|65-73|rifabutin|group
DDI-DrugBank.d531.s5|123-131|efavirenz|brand
DDI-DrugBank.d531.s6|0-3|drug|drug
DDI-DrugBank.d531.s8|0-17|acetilsalicic acid|drug
DDI-DrugBank.d531.s8|19-32|anticoagulants|group
DDI-DrugBank.d531.s8|34-50|antifungal agents|group
DDI-DrugBank.d531.s8|52-68|clostridium toxin|drug_n
DDI-DrugBank.d531.s8|150-161|glutethimide|drug
DDI-DrugBank.d531.s8|163-177|anticonvulsants|group
DDI-DrugBank.d531.s8|179-195|antifungal agents|group
DDI-DrugBank.d531.s8|277-294|acetilsalicic acid|drug
DDI-DrugBank.d531.s8|376-392|antifungal agents|group
DDI-DrugBank.d531.s8|474-485|glutethimide|drug
DDI-DrugBank.d531.s8|487-501|anticonvulsants|group
DDI-DrugBank.d531.s8|583-600|acetilsalicic acid|drug
DDI-DrugBank.d531.s9|0-22|to be used with SUSTIVA|drug
DDI-DrugBank.d531.s10|16-29|antihistamines|group
DDI-DrugBank.d531.s10|31-45|benzodiazepines|group
DDI-DrugBank.d531.s10|47-64|GI Motility Agents|group
DDI-DrugBank.d531.s10|66-78|anti-migraine|group
DDI-DrugBank.d531.s10|80-89|antifungal|group
DDI-DrugBank.d531.s11|0-9|astemizole|drug
DDI-DrugBank.d531.s11|11-19|midazolam|drug
DDI-DrugBank.d531.s11|21-29|triazolam|drug
DDI-DrugBank.d531.s11|31-39|cisapride|drug
DDI-DrugBank.d531.s11|41-57|ergot derivatives|group
DDI-DrugBank.d531.s11|59-70|voriconazole|drug_n
DDI-DrugBank.d531.s20|27-33|SUSTIVA|group
DDI-DrugBank.d531.s22|0-3|drug|drug
DDI-DrugBank.d531.s22|5-9|group|group
DDI-DrugBank.d531.s22|11-15|brand|brand
DDI-DrugBank.d531.s22|17-22|drug_n|drug_n
DDI-DrugBank.d531.s24|56-63| heparin|drug
DDI-DrugBank.d531.s24|69-89| anticoagulant agents|group
DDI-DrugBank.d531.s24|163-179| thrombophlebitis|group
DDI-DrugBank.d531.s24|185-200| thromboembolism|group
DDI-DrugBank.d531.s24|209-229| cerebral circulation|group
DDI-DrugBank.d531.s24|235-252| cerebral embolism|group
DDI-DrugBank.d531.s24|261-281| cerebral circulation|group
DDI-DrugBank.d531.s24|286-294| patients|group
DDI-DrugBank.d531.s24|301-320| arterial thrombosis|group
DDI-DrugBank.d531.s24|329-349| cerebral circulation|group
DDI-DrugBank.d531.s24|354-362| patients|group
DDI-DrugBank.d531.s24|369-388| arterial thrombosis|group
DDI-DrugBank.d531.s24|397-417| cerebral circulation|group
DDI-DrugBank.d531.s24|422-430| patients|group
DDI-DrugBank.d531.s24|437-456| arterial thrombosis|group
DDI-DrugBank.d531.s24|465-485| cerebral circulation|group
DDI-DrugBank.d531.s24|490-498| patients|group
DDI-DrugBank.d531.s24|505-524| arterial thrombosis|group
DDI-DrugBank.d531.s24|533-553| cerebral circulation|group
DDI-DrugBank.d531.s24|558-566| patients|group
DDI-DrugBank.d531.s24|573-592| arterial thrombosis|group
DDI-DrugBank.d531.s25|0-13|Clarithromycin|drug
DDI-DrugBank.d531.s26|0-13|clarithromycin|drug
DDI-DrugBank.d531.s27|35-41|Sustiva|group
DDI-DrugBank.d531.s28|0-6|unknown|drug
DDI-DrugBank.d531.s29|40-53|clarithromycin|group
DDI-DrugBank.d531.s29|88-101|clarithromycin|group
DDI-DrugBank.d531.s30|22-28|SUSTIVA|group
DDI-DrugBank.d531.s31|16-29|clarithromycin|group
DDI-DrugBank.d531.s31|40-51|azithromycin|drug
DDI-DrugBank.d531.s32|37-48|erythromycin|group
DDI-DrugBank.d531.s32|93-99|SUSTIVA|drug
DDI-DrugBank.d531.s35|0-8|Indinavir|drug
DDI-DrugBank.d531.s36|0-8|indinavir|drug
DDI-DrugBank.d531.s37|20-28|indinavir|group
DDI-DrugBank.d531.s39|5-13|indinavir|group
DDI-DrugBank.d531.s39|108-116|indinavir|group
DDI-DrugBank.d531.s39|210-218|indinavir|group
DDI-DrugBank.d531.s40|0-8|lopinavir|drug
DDI-DrugBank.d531.s40|12-20|ritonavir|drug
DDI-DrugBank.d531.s41|0-8|lopinavir|drug
DDI-DrugBank.d531.s42|19-39|antiretroviral agents|group
DDI-DrugBank.d531.s42|47-65|lopinavir/ritonavir|drug
DDI-DrugBank.d531.s45|121-129|methadone|drug
DDI-DrugBank.d531.s47|63-71|methadone|group
DDI-DrugBank.d531.s49|0-16|ethinyl estradiol|drug
DDI-DrugBank.d531.s50|35-55|antiretroviral agents|group
DDI-DrugBank.d531.s50|63-72|saquinavir|drug
DDI-DrugBank.d531.s50|75-83|ritonavir|drug
DDI-DrugBank.d531.s50|86-94|efavirenz|drug
DDI-DrugBank.d531.s50|97-109|emtricitabine|drug
DDI-DrugBank.d531.s50|112-120|tenofovir|drug
DDI-DrugBank.d531.s50|124-131|ProActiv|brand
DDI-DrugBank.d531.s50|300-310|amphetamine|drug
DDI-DrugBank.d531.s52|37-45|efavirenz|drug
DDI-DrugBank.d531.s55|23-31|rifabutin|group
DDI-DrugBank.d531.s56|22-30|rifabutin|group
DDI-DrugBank.d531.s56|55-63|rifabutin|group
DDI-DrugBank.d531.s58|0-8|efavirenz|drug
DDI-DrugBank.d531.s61|0-8|ritonavir|drug
DDI-DrugBank.d531.s63|48-54|SUSTIVA|group
DDI-DrugBank.d531.s64|0-22|efavirenz concentration|drug
DDI-DrugBank.d531.s68|0-9|sertraline|drug
DDI-DrugBank.d531.s70|13-22|sertraline|group
DDI-DrugBank.d531.s72|0-13|Anticoagulants|group
DDI-DrugBank.d531.s72|16-23|Warfarin|group
DDI-DrugBank.d531.s74|17-25|Phenytoin|group
DDI-DrugBank.d531.s74|27-39|Phenobarbital|group
DDI-DrugBank.d531.s74|41-53|Carbamazepine|group
DDI-DrugBank.d531.s75|27-40|anticonvulsant|group
DDI-DrugBank.d531.s75|49-57|efavirenz|brand
DDI-DrugBank.d531.s76|23-36|anticonvulsant|group
DDI-DrugBank.d531.s77|13-24|itraconazole|group
DDI-DrugBank.d531.s77|26-37|ketoconazole|group
DDI-DrugBank.d531.s78|0-16|antifungal agents|drug
DDI-DrugBank.d531.s79|63-79|antifungal agents|group
DDI-DrugBank.d531.s79|85-98|anticoagulants|group
DDI-DrugBank.d531.s80|30-39|saquinavir|group
DDI-DrugBank.d531.s80|45-53|ritonavir|group
DDI-DrugBank.d531.s83|62-71|amprenavir|group
DDI-DrugBank.d531.s86|0-14|St. John's wort|drug
DDI-DrugBank.d531.s87|52-60|efavirenz|group
DDI-DrugBank.d531.s90|115-123|efavirenz|drug_n
DDI-DrugBank.d531.s92|117-125|efavirenz|group
DDI-DrugBank.d107.s0|238-246|enalapril|group
DDI-DrugBank.d107.s0|251-261|enalaprilat|group
DDI-DrugBank.d107.s1|44-52|enalapril|group
DDI-DrugBank.d107.s1|57-67|enalaprilat|group
DDI-DrugBank.d107.s1|114-121|diuretic|group
DDI-DrugBank.d107.s1|191-199|enalapril|group
DDI-DrugBank.d107.s1|204-214|enalaprilat|group
DDI-DrugBank.d107.s3|34-42|enalapril|group
DDI-DrugBank.d107.s3|48-56|enalapril|group
DDI-DrugBank.d107.s3|134-142|diuretics|group
DDI-DrugBank.d107.s4|179-187|enalapril|group
DDI-DrugBank.d107.s6|34-45|indomethacin|group
DDI-DrugBank.d107.s6|50-57|sulindac|group
DDI-DrugBank.d107.s8|30-35|NSAIDs|group
DDI-DrugBank.d107.s8|81-94|ACE inhibitors|group
DDI-DrugBank.d107.s9|66-79|anticoagulants|group
DDI-DrugBank.d107.s9|100-116|antifungal agents|group
DDI-DrugBank.d107.s9|159-172|anticoagulants|group
DDI-DrugBank.d107.s9|178-184|aspirin|brand
DDI-DrugBank.d107.s9|187-200|anticoagulants|group
DDI-DrugBank.d107.s9|207-220|anticoagulants|group
DDI-DrugBank.d107.s9|226-232|aspirin|brand
DDI-DrugBank.d107.s9|235-248|anticoagulants|group
DDI-DrugBank.d107.s9|255-268|anticoagulants|group
DDI-DrugBank.d107.s9|274-280|aspirin|brand
DDI-DrugBank.d107.s9|283-296|anticoagulants|group
DDI-DrugBank.d107.s9|303-316|anticoagulants|group
DDI-DrugBank.d107.s9|322-328|aspirin|brand
DDI-DrugBank.d107.s9|331-344|anticoagulants|group
DDI-DrugBank.d107.s9|351-364|anticoagulants|group
DDI-DrugBank.d107.s9|370-376|aspirin|brand
DDI-DrugBank.d107.s9|379-392|anticoagulants|group
DDI-DrugBank.d107.s9|399-412|anticoagulants|group
DDI-DrugBank.d107.s9|418-424|aspirin|brand
DDI-DrugBank.d107.s9|427-440|anticoagulants|group
DDI-DrugBank.d107.s10|30-40| enalapril |drug
DDI-DrugBank.d107.s10|46-59| enalapril IV |drug
DDI-DrugBank.d107.s10|95-127| beta adrenergic-blocking agents |group
DDI-DrugBank.d107.s10|130-141| methyldopa |group
DDI-DrugBank.d107.s10|144-153| nitrates |group
DDI-DrugBank.d107.s10|156-180| calcium-blocking agents |group
DDI-DrugBank.d107.s10|183-195| hydralazine |group
DDI-DrugBank.d107.s10|198-207| prazosin |group
DDI-DrugBank.d107.s10|213-221| digoxin |group
DDI-DrugBank.d107.s11|46-54|digitalis|group
DDI-DrugBank.d107.s12|35-43|Enalapril|group
DDI-DrugBank.d107.s12|49-57|Enalapril|group
DDI-DrugBank.d107.s13|35-48|spironolactone|group
DDI-DrugBank.d107.s13|51-61|triamterene|group
DDI-DrugBank.d107.s13|67-75|amiloride|group
DDI-DrugBank.d107.s16|9-15|lithium|drug
DDI-DrugBank.d107.s16|66-72|lithium|drug
DDI-DrugBank.d107.s17|29-35|lithium|drug
DDI-DrugBank.d107.s17|71-79|enalapril|group
DDI-DrugBank.d395.s1|36-43|enoxacin|group
DDI-DrugBank.d395.s1|49-69|bismuth subsalicylate|group
DDI-DrugBank.d395.s2|10-17|Enoxacin|group
DDI-DrugBank.d395.s2|108-115|caffeine|drug
DDI-DrugBank.d395.s2|121-132|theophylline|drug
DDI-DrugBank.d395.s3|26-33|enoxacin|group
DDI-DrugBank.d395.s4|40-49|20% higher|group
DDI-DrugBank.d395.s4|56-63|caffeine|drug
DDI-DrugBank.d395.s5|100-107|enoxacin|group
DDI-DrugBank.d395.s6|39-49|cylosporine|group
DDI-DrugBank.d395.s6|94-104|cylosporine|group
DDI-DrugBank.d395.s8|36-42|digoxin|drug
DDI-DrugBank.d395.s8|64-71|enoxacin|group
DDI-DrugBank.d395.s8|77-83|digoxin|drug
DDI-DrugBank.d395.s8|149-155|digoxin|drug
DDI-DrugBank.d395.s8|175-181|digoxin|drug
DDI-DrugBank.d395.s9|40-47|enoxacin|group
DDI-DrugBank.d395.s9|53-60|fenbufen|group
DDI-DrugBank.d395.s10|79-92|anticoagulants|group
DDI-DrugBank.d395.s10|98-114|antifungal agents|group
DDI-DrugBank.d395.s12|25-34|quinolones|group
DDI-DrugBank.d395.s15|5-46|divalent or trivalent cations such as iron|group
DDI-DrugBank.d395.s16|0-8|quinolone|drug
DDI-DrugBank.d395.s16|43-46|zinc|drug
DDI-DrugBank.d395.s16|81-84|drug|drug
DDI-DrugBank.d395.s17|20-37|aluminum hydroxide|group
DDI-DrugBank.d395.s17|43-61|magnesium hydroxide|group
DDI-DrugBank.d395.s17|93-100|enoxacin|drug
DDI-DrugBank.d395.s18|28-35|enoxacin|group
DDI-DrugBank.d395.s18|80-89|Ranitidine|brand
DDI-DrugBank.d395.s20|112-123|theophylline|drug
DDI-DrugBank.d395.s20|224-235|theophylline|drug
DDI-DrugBank.d395.s20|336-347|theophylline|drug
DDI-DrugBank.d395.s20|448-459|theophylline|drug
DDI-DrugBank.d395.s22|68-79|theophylline|group
DDI-DrugBank.d395.s22|85-92|enoxacin|group
DDI-DrugBank.d395.s23|10-122|Quinolones, including enoxacin, decrease the clearance of R-warfarin, the less active isomer of racemic warfarin.|group
DDI-DrugBank.d241.s0|55-68|anticoagulants|group
DDI-DrugBank.d241.s0|73-89|antifungal agents|group
DDI-DrugBank.d241.s1|100-113|anticoagulants|group
DDI-DrugBank.d241.s1|118-134|antifungal agents|group
DDI-DrugBank.d241.s2|41-54|anticoagulants|group
DDI-DrugBank.d241.s3|20-25|Flolan|group
DDI-DrugBank.d241.s3|41-47|digoxin|drug
DDI-DrugBank.d241.s3|50-58|diuretics|group
DDI-DrugBank.d241.s3|61-74|anticoagulants|group
DDI-DrugBank.d241.s3|77-93|oral vasodilators|group
DDI-DrugBank.d241.s3|203-212|furosemide|drug
DDI-DrugBank.d241.s3|217-223|digoxin|drug
DDI-DrugBank.d241.s3|246-251|Flolan|group
DDI-DrugBank.d241.s3|303-312|furosemide|drug
DDI-DrugBank.d241.s3|327-333|digoxin|drug
DDI-DrugBank.d241.s5|21-27|digoxin|group
DDI-DrugBank.d241.s5|52-58|digoxin|group
DDI-DrugBank.d241.s5|173-179|digoxin|group
DDI-DrugBank.d525.s2|8-17|eprosartan|group
DDI-DrugBank.d525.s2|266-275|eprosartan|drug
DDI-DrugBank.d152.s1|77-84|estrogen|group
DDI-DrugBank.d152.s6|60-63| T3 |drug
DDI-DrugBank.d152.s7|0-20|free T4 concentration|drug
DDI-DrugBank.d152.s8|10-32|pregnane diol excretion|group
DDI-DrugBank.d359.s1|44-51|PEGANONE|group
DDI-DrugBank.d359.s2|34-46|antiepileptic|group
DDI-DrugBank.d359.s2|49-57|phenytoin|drug
DDI-DrugBank.d359.s2|68-81|anticoagulants|group
DDI-DrugBank.d359.s3|12-20|phenytoin|group
DDI-DrugBank.d359.s3|46-53|coumarin|group
DDI-DrugBank.d359.s3|127-140|anticoagulants|group
DDI-DrugBank.d359.s5|74-81|ethotoin|group
DDI-DrugBank.d359.s5|91-104|anticoagulants|group
DDI-DrugBank.d359.s6|48-55|Peganone|group
DDI-DrugBank.d359.s6|79-92|anticoagulants|group
DDI-DrugBank.d219.s0|87-100|ACE inhibitors|group
DDI-DrugBank.d219.s2|107-112|Lodine|group
DDI-DrugBank.d219.s7|14-20|digoxin|group
DDI-DrugBank.d219.s7|23-34|Methotrexate|group
DDI-DrugBank.d219.s7|231-237|digoxin|group
DDI-DrugBank.d219.s7|240-251|Methotrexate|group
DDI-DrugBank.d219.s8|31-42|cyclosporine|group
DDI-DrugBank.d219.s9|25-39| anticoagulants|group
DDI-DrugBank.d219.s9|55-61| Lodine|brand
DDI-DrugBank.d219.s9|77-91| anticoagulants|group
DDI-DrugBank.d219.s9|230-244| anticoagulants|group
DDI-DrugBank.d219.s10|11-18|Etodolac|group
DDI-DrugBank.d219.s10|87-96|furosemide|group
DDI-DrugBank.d219.s10|101-119|hydrochlorothiazide|group
DDI-DrugBank.d219.s11|86-91|Lodine|group
DDI-DrugBank.d219.s13|32-45|anticoagulants|group
DDI-DrugBank.d219.s14|87-95|glyburide|group
DDI-DrugBank.d219.s14|100-112|glibenclamide|drug
DDI-DrugBank.d219.s14|115-123|glyburide|group
DDI-DrugBank.d219.s15|9-14|NSAIDs|drug
DDI-DrugBank.d219.s15|53-59|lithium|drug
DDI-DrugBank.d219.s15|93-99|lithium|drug
DDI-DrugBank.d219.s17|89-93|NSAID|group
DDI-DrugBank.d219.s18|11-24|anticoagulants|group
DDI-DrugBank.d219.s18|30-46|antifungal agents|group
DDI-DrugBank.d219.s18|130-136|lithium|group
DDI-DrugBank.d219.s19|16-29|Phenylbutazone|group
DDI-DrugBank.d219.s19|86-93|etodolac|drug
DDI-DrugBank.d219.s21|11-18|Etodolac|group
DDI-DrugBank.d219.s21|87-95|phenytoin|drug
DDI-DrugBank.d219.s22|25-32|warfarin|group
DDI-DrugBank.d219.s23|101-108|etodolac|group
DDI-DrugBank.d219.s24|69-76|warfarin|group
DDI-DrugBank.d219.s24|101-108|warfarin|group
DDI-DrugBank.d219.s25|31-44|anticoagulants|group
DDI-DrugBank.d219.s25|104-109|Lodine|drug
DDI-DrugBank.d219.s26|148-161|anticoagulants|group
DDI-DrugBank.d219.s26|184-191|etodolac|drug
DDI-DrugBank.d219.s26|232-245|anticoagulants|group
DDI-DrugBank.d219.s27|0-5|Lodine|drug
DDI-DrugBank.d219.s27|45-58|anticoagulants|group
DDI-DrugBank.d219.s27|62-78|antifungal agents|group
DDI-DrugBank.d219.s27|82-87|Lodine|drug
DDI-DrugBank.d219.s27|127-132|Lodine|drug
DDI-DrugBank.d219.s32|97-104|etodolac|group
DDI-DrugBank.d104.s0|79-90|guanethidine|group
DDI-DrugBank.d104.s0|93-102|methyldopa|group
DDI-DrugBank.d104.s0|105-113|reserpine|group
DDI-DrugBank.d104.s1|74-85|fenfluramine|group
DDI-DrugBank.d546.s0|0-9|fenoldopam|drug
DDI-DrugBank.d546.s1|171-180|fenoldopam|group
DDI-DrugBank.d546.s2|0-9|fenoldopam|drug
DDI-DrugBank.d546.s3|77-90|alpha-blockers|group
DDI-DrugBank.d546.s3|93-116|calcium channel-blockers|group
DDI-DrugBank.d546.s3|119-132|ACE inhibitors|group
DDI-DrugBank.d546.s3|139-147|diuretics|group
DDI-DrugBank.d546.s3|150-162|thiazide-like|group
DDI-DrugBank.d546.s3|168-171|loop|group
DDI-DrugBank.d546.s3|198-201|loop|group
DDI-DrugBank.d546.s3|228-231|loop|group
DDI-DrugBank.d776.s0|38-49|interactions|group
DDI-DrugBank.d776.s1|45-53| DIFLUCAN|group
DDI-DrugBank.d776.s2|46-63|Oral hypoglycemics|group
DDI-DrugBank.d776.s2|66-93|Coumarin-type anticoagulants|group
DDI-DrugBank.d776.s2|96-104|Phenytoin|drug
DDI-DrugBank.d776.s2|107-118|Cyclosporine|drug
DDI-DrugBank.d776.s2|121-128|Rifampin|drug
DDI-DrugBank.d776.s2|131-142|Theophylline|drug
DDI-DrugBank.d776.s2|145-155|Terfenadine|drug
DDI-DrugBank.d776.s2|158-166|Cisapride|drug
DDI-DrugBank.d776.s2|169-178|Astemizole|drug
DDI-DrugBank.d776.s2|181-189|Rifabutin|drug
DDI-DrugBank.d776.s2|192-201|Tacrolimus|drug
DDI-DrugBank.d776.s2|204-231|Short-acting benzodiazepines|group
DDI-DrugBank.d776.s2|235-252|Oral hypoglycemics|group
DDI-DrugBank.d776.s2|325-332|DIFLUCAN|group
DDI-DrugBank.d776.s2|339-362|oral hypoglycemic agents|group
DDI-DrugBank.d776.s3|4-15|hypoglycemia|group
DDI-DrugBank.d776.s3|46-53|DIFLUCAN|drug
DDI-DrugBank.d776.s4|35-48|anticoagulants|group
DDI-DrugBank.d776.s4|51-67|antifungal agents|group
DDI-DrugBank.d776.s4|74-90|antifungal agents|group
DDI-DrugBank.d776.s5|5-12|DIFLUCAN|group
DDI-DrugBank.d776.s7|242-252|fluconazole|group
DDI-DrugBank.d776.s8|22-37|prothrombin time|group
DDI-DrugBank.d776.s10|0-8|Phenytoin|drug
DDI-DrugBank.d776.s10|11-18|DIFLUCAN|group
DDI-DrugBank.d776.s10|59-67|phenytoin|drug
DDI-DrugBank.d776.s11|22-30|phenytoin|group
DDI-DrugBank.d776.s11|82-90|phenytoin|drug
DDI-DrugBank.d776.s12|86-102|antifungal agents|group
DDI-DrugBank.d776.s12|104-114|fluconazole|drug
DDI-DrugBank.d776.s12|116-126|fluconazole|drug
DDI-DrugBank.d776.s12|128-138|fluconazole|drug
DDI-DrugBank.d776.s12|140-156|antifungal agents|group
DDI-DrugBank.d776.s12|158-168|fluconazole|drug
DDI-DrugBank.d776.s12|170-180|fluconazole|drug
DDI-DrugBank.d776.s12|182-192|fluconazole|drug
DDI-DrugBank.d776.s12|194-210|antifungal agents|group
DDI-DrugBank.d776.s12|212-222|fluconazole|drug
DDI-DrugBank.d776.s12|224-234|fluconazole|drug
DDI-DrugBank.d776.s12|236-246|fluconazole|drug
DDI-DrugBank.d776.s12|248-264|antifungal agents|group
DDI-DrugBank.d776.s12|266-276|fluconazole|drug
DDI-DrugBank.d776.s12|278-288|fluconazole|drug
DDI-DrugBank.d776.s12|290-300|fluconazole|drug
DDI-DrugBank.d776.s12|302-318|antifungal agents|group
DDI-DrugBank.d776.s12|320-330|fluconazole|drug
DDI-DrugBank.d776.s12|332-342|fluconazole|drug
DDI-DrugBank.d776.s12|344-354|fluconazole|drug
DDI-DrugBank.d776.s12|356-372|antifungal agents|group
DDI-DrugBank.d776.s12|374-384|fluconazole|drug
DDI-DrugBank.d776.s12|386-396|fluconazole|drug
DDI-DrugBank.d776.s12|398-408|fluconazole|drug
DDI-DrugBank.d776.s13|14-21|DOFLUCAN|group
DDI-DrugBank.d776.s13|50-61|cyclosporine|group
DDI-DrugBank.d776.s14|22-33|cyclosporine|group
DDI-DrugBank.d776.s15|5-25| interaction studies.|group
DDI-DrugBank.d776.s16|10-18| Rifampin|group
DDI-DrugBank.d776.s17|93-100|DIFLUCAN|group
DDI-DrugBank.d776.s17|131-138|rifampin|group
DDI-DrugBank.d776.s18|14-22|DIFFLUCAN|group
DDI-DrugBank.d776.s19|28-39|theophylline|group
DDI-DrugBank.d776.s19|78-85|DIFLUCAN|brand
DDI-DrugBank.d776.s19|91-102|theophylline|group
DDI-DrugBank.d776.s20|177-187|terfenadine|group
DDI-DrugBank.d776.s21|15-25|fluconazole|group
DDI-DrugBank.d776.s22|19-24|400-mg|group
DDI-DrugBank.d776.s22|30-35|800-mg|group
DDI-DrugBank.d776.s22|51-61|fluconazole|drug
DDI-DrugBank.d776.s24|24-34|fluconazole|group
DDI-DrugBank.d776.s24|72-82|terfenadine|brand
DDI-DrugBank.d776.s25|119-127|cisapride|group
DDI-DrugBank.d776.s26|30-40|fluconazole|group
DDI-DrugBank.d776.s26|64-72|cisapride|group
DDI-DrugBank.d776.s26|131-139|cisapride|group
DDI-DrugBank.d776.s27|20-30|fluconazole|group
DDI-DrugBank.d776.s27|37-45|cisapride|brand
DDI-DrugBank.d776.s28|23-33|fluconazole|group
DDI-DrugBank.d776.s28|67-76|astemizole|group
DDI-DrugBank.d776.s31|66-76|fluconazole|group
DDI-DrugBank.d776.s31|82-90|Rifabutin|drug
DDI-DrugBank.d776.s32|19-27|rifabutin|group
DDI-DrugBank.d776.s32|33-43|fluconazole|group
DDI-DrugBank.d776.s33|74-84|fluconazole|group
DDI-DrugBank.d776.s33|90-97|taclimus|drug
DDI-DrugBank.d776.s34|19-26|taclimus|group
DDI-DrugBank.d776.s34|32-42|fluconazole|group
DDI-DrugBank.d776.s35|63-71|midazolam|group
DDI-DrugBank.d776.s35|74-84|fluconazole|group
DDI-DrugBank.d776.s35|123-131|midazolam|group
DDI-DrugBank.d776.s36|15-23|midazolam|group
DDI-DrugBank.d776.s37|3-17|benzodiazepines|group
DDI-DrugBank.d776.s37|49-63|cytochrome P450|group
DDI-DrugBank.d776.s37|170-183|benzodiazepine|group
DDI-DrugBank.d776.s39|53-60|estrogen|group
DDI-DrugBank.d776.s39|66-74|progestin|group
DDI-DrugBank.d776.s40|76-92|ethinyl estradiol|group
DDI-DrugBank.d776.s40|98-117|group>levonorgestrel|group
DDI-DrugBank.d78.s1|18-27|quinolones|group
DDI-DrugBank.d78.s1|54-61|aluminum|group
DDI-DrugBank.d78.s1|64-72|magnesium|group
DDI-DrugBank.d78.s1|78-84|calcium|group
DDI-DrugBank.d78.s1|92-101|sucralfate|brand
DDI-DrugBank.d78.s1|109-113|metal|group
DDI-DrugBank.d78.s1|218-225|divalent|group
DDI-DrugBank.d78.s1|231-239|trivalent|group
DDI-DrugBank.d78.s1|431-440|quinolones|group
DDI-DrugBank.d78.s2|72-84|grepafloxacin|group
DDI-DrugBank.d78.s6|14-27|Greapafloxacin|group
DDI-DrugBank.d78.s6|77-88|theophylline|drug
DDI-DrugBank.d78.s7|9-17|ophylline|group
DDI-DrugBank.d78.s7|48-60|grepafloxacin|brand
DDI-DrugBank.d78.s8|38-50|grepafloxacin|group
DDI-DrugBank.d78.s8|180-192|grepafloxacin|group
DDI-DrugBank.d78.s9|32-39|warfarin|group
DDI-DrugBank.d78.s9|99-111|grepafloxacin|drug
DDI-DrugBank.d78.s11|0-12|grepafloxacin|drug
DDI-DrugBank.d78.s11|14-26|grepafloxacin|group
DDI-DrugBank.d78.s11|28-39|theophylline|drug
DDI-DrugBank.d78.s11|41-53|grepafloxacin|drug
DDI-DrugBank.d78.s11|55-67|grepafloxacin|group
DDI-DrugBank.d78.s11|69-80|theophylline|drug
DDI-DrugBank.d78.s11|82-94|grepafloxacin|drug
DDI-DrugBank.d78.s11|96-108|grepafloxacin|group
DDI-DrugBank.d78.s11|110-121|theophylline|drug
DDI-DrugBank.d78.s13|53-65|grepafloxacin|group
DDI-DrugBank.d78.s16|0-10|terfenadine|drug
DDI-DrugBank.d78.s16|13-22|astemizole|group
DDI-DrugBank.d78.s16|25-33|cisapride|drug
DDI-DrugBank.d78.s16|36-44|midazolam|drug
DDI-DrugBank.d78.s18|111-123|grepafloxacin|group
DDI-DrugBank.d78.s18|226-243|acetilsalicic acid|drug
DDI-DrugBank.d78.s18|248-254|aspirin|brand
DDI-DrugBank.d78.s18|259-264|heroin|drug_n
DDI-DrugBank.d302.s0|0-11|guanethidine|group
DDI-DrugBank.d302.s0|13-24|guanethidine|group
DDI-DrugBank.d302.s0|26-37|guanethidine|group
DDI-DrugBank.d302.s0|39-50|guanethidine|group
DDI-DrugBank.d302.s0|52-63|guanethidine|group
DDI-DrugBank.d302.s0|65-76|guanethidine|group
DDI-DrugBank.d302.s0|78-89|guanethidine|group
DDI-DrugBank.d302.s0|91-102|guanethidine|group
DDI-DrugBank.d302.s0|104-115|guanethidine|group
DDI-DrugBank.d302.s0|117-128|guanethidine|group
DDI-DrugBank.d302.s0|130-141|guanethidine|group
DDI-DrugBank.d302.s0|143-154|guanethidine|group
DDI-DrugBank.d302.s0|156-167|guanethidine|group
DDI-DrugBank.d302.s0|169-180|guanethidine|group
DDI-DrugBank.d302.s0|182-193|guanethidine|group
DDI-DrugBank.d302.s0|195-206|guanethidine|group
DDI-DrugBank.d302.s0|208-219|guanethidine|group
